essay_id,full_text,score,cluster,cluster_confidence
fc76be4,"germany,paris,columbia and now the usa have begun to cut back ob their vehichle emmissions. why?

To reduce the amount of greenhouse gases produced by their countries.

no cars in germany? vaubaun germany is a new upscale community on the edge of the french and swiss border. recently completed in 2006 whats so special you might ask?

theres little no no cars in this new community.

according to the article ""

in german suburb, life goes on with out cars

"" written by: elisabeth rosenthanl.

""70 percent of vaubans families do not own cars, and 57 percent sold a car to move here.""

thsi effort is being used to try and reduce the 12 pecent of green house gas prouced by europ alone.

in vauban people crowd the sidwalks, kis playing in the streets, and the people that do want to own a car have to pay a cool $40,000.00. and there cars are not even kept in their houses.

in another european country close by, paris is also trying to cut down its green house gas emisoms.

in the article ""

paris bans driving due to smog

"" it tells how france is also taking action to reduce its green house gases.

the article reads ""after days of near-record pollution, paris enforces a partial driving ban to clear the air of the global city.""

anyone who had an odd numberd tag on one of the days and was cought driving would  get a $31 ticket. and revers for the even numberd tags on the next day. so the cars took turns driving. meaning there would be less cars on the street on those certain days.

according to the article over 4,000 people were fined, and 27 people had their cars impounded. it might sound stupid but whe your trying to save the world its a small price to pay.

bogota columbia also joins the fight against greenhouse gases.

""

car free day spinning into a big hit in bogota

"" by Andrew selsky tells the story of just one day that people in bogota neglected to use cars.

"" millions of colombians hiked,biked,skated, or took buses to work during a car free day yesterday, leaving the streets of this capital city eerily devoid of traffic jams. it was the third straight year cars have been banned and taxis permitted for the days without cars in this capital city of 7 million. the goal is to promote alternative transportation and reduce smog. violators faced $25 fines.""

bogota columbia has been doing this now for over 3 years, meaning that they are actually cutting down on there green house gas emissions.

not even the rainly days of columbia stopped the participants of this now yearly event. the participants are not only held to bogota, recently cali and valledupar also joined the even.

this 1 day with out cars has been in place sinc the 1990's.

the article ""

the end of car culture

"" tells how americans are driving less and how less and less people are buying cars, and how les greenhouse gas is being emmitioned.

lastly its tells how president obama gave a speach on greenhouse gases.            ",1,0,0.7410818934440613
7c11660,"this story is about cars and pollution and how much people get fined with even numbered license plates plates to leave their cars at home or suffer a 22-euro fine of $31 and mobile world congress and improve safeties also a study last year found that driving by young people decreased 23 percent between 2001 and 2009 also other people havent bothered to get their licenses because either their lazy or just dont simply want to get their license i on the other hand do have my license also i am 16 years old and have to wait a year to be able to drive alone and that's if i pass the driver's exam wich im confident enough that i will but anyways back to the story demographic shifts in the driving population suggest that the trend may accelerate the drop percentage of 16- to 39-year-olds getting a license while older poeple are likely to retain their licenses as they age. Obama The President Of The United States gambitious goals to curb the united states greenhouse gas emissions , unveiled last week. The third straight year cars have been banned with onlly buses and taxis permitted for the day without cars in the capital city of 7 million. Also gas price has been lowered to an incredible price that everyone's pretty much satisfied you could say but theres always the people that complain because it is always like that theres ungrateful people and theres grateful people when other people can't afford gas money believe it or not i'd be surprised if they lowered grocery prices wich would be better for the country in my opinion it just makes everything better thank you for listening     ",1,0,0.6477237343788147
62c1262,"Studies have been proven that people are starting to not drive cars as much, Americans are buying fewer cars, and getting fewer licenses. There are several advantages to not driving cars every where, beneficial implications for carbon emissions, the environment and improves safety.

Vauban's streets in germany are completely ""car free."" People who do not drive cars any more and ride bikes, walks or rides the tram are said to be more happier this way. A mother of two walks and rides her bikes every where with her kids and does not feel as tense and stressed as she did when she was driving.

Also a huge advantage is it drastically reduces greenhouse gas emissions from tailpipes. Diesel fuel was banned in France since tax policies favored dieselover gasoline. Delivery companiess complained of lost revenue, but exceptions were made, plug-in-cars, hybrids, and cars carrying three or more passengers.

In Paris there were days of near record pollution, so they enforced a partial driving ban to clear the air of the city. April 2013, the number of miles driven per person was nearly 9 percent below average and equal to the country in January 1995. ""The rate of car ownership per household and per person came down two to three years before the downturn."" Michael Sivak stated. New York has a new bike sharing program and the skyrocketing bridges and tunnel tolls reflect people to want to not drive cars anymore.

A study last year found that driving by young people decreased 23 percent between 2001 and 2009, just shows you that the beneficial implications, environment and easier way of saving money does make people want to start biking, walking, using a tram, etc. Those examples I gave you are a few advantages of limiting car use.         ",2,0,0.8096966743469238
eee008f,"Cars are a very large help for transportation. Although they do have alot of defects to our environment, our laziness, and our safety.

The first reason we should limit car use is so our environment doesn't get ruined.  The fumes our vehicles are relasing into the air are creating a large addition to the greeenhouse gases.  For an example semis, diesel cars, diesel trucks and other vehicles when you rev the gas it pours out black smoke into the environment.  When you see a truck do this you think nothing of it, but overtime and with every single car and truck that does it, it adds up very quickley.

Another reason we should limit our car usuage is because it increases our laziness.  Instead of driving to school when it's only 2 minutes away, you could just walk.  If you walked you would lose a little weight and even saving your gas money.  If you are close to the place you want to go then you might as well just walk in benfits you in many ways.  Saving money, losing weight, and getting more fit.

One of the most important reasons we should limit our car usuage is for our own safety.  Deaths in car accidents is one of the most leading causes to death now a days. would you rather walk or ride a bike to the location you want to go or would you rather risk your life by driving and somebody teboning you and injuring or even killing you.  Not that you should but some people sometimes can get into a crash with you and then just drive off. Whether it was your fault or theirs now you have to pay for the damages done to your vehicle.

If you are going to drive because you live far away from everything.  Simply car pull, it's alot easier and if everyone throws down a little money then you aren't spending that much on gas or diesel.  Riding a bike is a great solution to limiting car usuage because it's a one time purchase, once you buy the bike you don't have to pay for fuel.  Also it's better than walking because it's by far faster.

In general driving has advantages and disadvantages.  Although if you are close to your location then riding a bike would be ideal to lower car usuage.    ",2,0,0.7981201410293579
fc156e4,"Driving a car can be a good idea in the country where you might not be able to walk to every place that is a necessity. But why drive a car and sit there for up to thirty minutes in traffic when you can walk there in under ten or ride a bike in just under five, now if that sounds like great logic to you then great; if you are like the majority of people in this current day and age then you would not need to feel the erdge to drive, you would rather ride a bike and feel the breeze of the fresh crisp air in your hair.

The new trend of living is here, more and more communities are popping up that are car free. As the first source has stated ""...70 percent of Vauban's families do not own cars, and 57 percent sold a car to move here."" more and more people are deciding to not own a car or even to just sell their cars so that way it is not a burden on their shoulders to maintain the cars. Most of the people who decide to give up their cars say it's a much happier way to live.

Some countries are even putting a ban on driving on certain days like paris did in source two. It stated that ""...motorists with even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine."" This ban went on for roughly five days for the smog cleared enough for all to resume preferd ways of transportation.

In colombia the government made a car-free day so that way more people would get comforatable with finding alternate ways or commuting said in the third source ""car-free day is spinning into a big hit Bogota"" by Andrew Selsky. All in all more and more nation and people are deciding to go car free for good. Maybe you wil catch on and join in on this car free lifestyle.             ",2,0,0.7822996377944946
3fdaaec,"Fellow citizens there are many advantages to limitng car use. One big advantage is a reduce in global warming. Auto-moblie causes a large percent of greenhouse gas emissions as stated in source 1, paragraph 5. Limiting car usage can reduce greenhouse gas emissions by more than half. Car pollution can also can aslo cause smog which aslo took a toll on Paris , who had to ban driving do to smog .Due to the smog delivery companies lost revenue and public transit was free of charge for a couple of days. Smog can also travel easily to other cities throughout the air. Also car usage has taken a toll on previous bills in the united states as stted in source 1 80 percent of appropriations have by law gone to highways and only the other 20 percent to other transport.

Limitng car usage can greatly reduce the number of traffic jams throughout cities. As staed in souce 4. During Bogata car-free day parks and sports centers have bloomed throughout the city; rush-hour restrictions have dramatically cut traffic; and new restaurants and upscale shopping districts have cropped up. There has been 118 miles of bicycle paths , which means more exercise which is good for your health.    ",2,0,0.8498444557189941
b38eebb,"Have you ever wondered how you would get through the day without a car to drive you to school, afterschool clubs, soccer practice and home at the end of the day? In several places around the world citizens are cutting down, or off,with their car usage  and starting to transport themselves by bycicle or walking.  Vauban, Paris and Bogota residents have described this new way of living as stress-reducing and has also been a domino effect for places around the world!

The first point, described by previous car owners in Vauban, Germany is the lack of stress in their life after the conversion to a no-car lifestyle. ""When i had a car I was always tense. I'm much happier this way."" Citizen Heidrun Walter described the change as positive even while juggling her full-time jobs of being a media trainer and mom.  The loss of time spent in traffic has produced a more relaxed lifestyle in Bogota, Colombia as well.  Carlos Arturo Plaza, citizen, explains that the switch as ""A good opportunity to take away stress."" As a whole, nobody likes to sit in traffic and walking or riding a bicycle to work makes one less thing you have to worry about.

Having citizens convert into not using automobiles full time also produces the domino effect. For example, because of Bogota using this lifestyle the Colobian cities of Cali and Valledupar have followed in their lead. As well as the obvious that this change brings, is also is shedding off on other places that want to improve their surroundings.  With other cities, countys or even countries joining in, we can slowly make the world a healthier place.

In conclusion, limiting car usage has brought positive effects on the cities of Vauban, Paris and Bogota. These places have shown signs of lower stress and an easier way of life.  Many other places have been adding on to the trend and can make the world a much less polluted and better place to be.                                            ",3,0,0.7051433324813843
1e29434,"Informing citizens about the advantage of limiting car usage. Is a greatt thing to do. why you think limiting car usage is a great think. Becase car case airpolluton. limiting car usage stop airpolluton. Also a huge way to gate people to walk ,ride bike,and workout.

First,in passage one showe that life can still go on whtout the ues of car. This is clear when Rosenthal write in paragharp three ""when I had a car I was always tense. I'm much happier this way"". this show that the prason is mush happier whitout he/she car. This clarey show that limiting car usage can make you lass tense on the stree.

Next,driving car can hrat the air and cause airpollution around us. In source two it inform that France was full of smog cause by car. This is cleary in paraghap 9, when ""Paris typically has more smog than other European capitals"". this qoute show how car caese the air in paris to smog also caeseing airpollution in other citys. This evidence show that limiting car usage can stop airpollution and better think of  the plant.

To add on to on day without the use of  car is a good think. where everyone stop use there car gust of one day. This is show in source three where car-free day is big hit in bogota. this clear in when selsky write in paraghap 4, ""It'sv a good  opportunit to take away stress and lower air pollution,""said businessman car    ",3,0,0.8104376196861267
1c37396,"During the 1700's the world did not have transportation like we do now. They had to ride on horses and walk to where they needed to go. Now all we depend on is driving where we need to go. Its hurting our world and the people around who are around it. Their are plenty of advantages of limiting car usage around the world. Many people think its no good side to not driving around everywhere but their are. Stores are becoming closer to walking distance. It stops cars from poluting the world and it lessons stress from the human body.

Everywhere you look you see a store or a building. We drive to places because we think its to far a walk or its a bad day to walk. In the Article ""In German Suburb,Life Goes On Without Cars""  it says that in Vauban,Germany they built stores that were a good walking distance on a main street instead on a long far away highway. So that means the stores are closer to you,which is good because you can go alot more often if they are closer and easy to get to. Another advantage to that is that its faster to walk if they bring the stores closer to you. This is some of the advantages to limiting car usage.

Cars are polluting our world everyday and everynight night somebody wants to drive. In the aritcle ""paris bans driving due to fog"" it says that Paris had to force people to leave their cars at home or they would have to pay a fine if they drive it. It says that it was intense smog. Cars cause alot of damage to the world but people who drive dont see how it's effecting the world. The Smog caused alot of traffic to happen and that most likely caused car accidents to happen. Instead of driving if you walk it helps you not worry about gas prices or anything that you worry about that is related to driving so it relieves stress.

All in all limiting car driving is the way to go. It improves the walking distance to and from the stores. It helps the world from being polluted and relieves stress from your body. Why would'nt you want that for yourself and your family.    ",3,0,0.7783907651901245
4a7ce79,"There are plenty advantages to limiting car use on this Earth. For example, limiting car use can lead to a cleaner environment, better overall health of the people and the Earth, and overall, just a better place to live. Cutting down on car usage can be very benficial for the planet, along with future generations of people.

First, limiting car use can lead to a better place to live in. If we were to slow down on the use of gas, there would be less wars over oil in other countries. We as a race can change the world, one car at a time. Lowering the amount of driving wouldn't be an easy change, but surely one worth while.

Secondly, giving up cars completely might not be necessary, but emitting toxic gas fumes can be easily avoided simply by switching to an electric car. There are many affordable electric cars that can help stop the fumes from traveling into the ozone layer, which can prolong our Earth's life, our lives, and can stop global warming dead in its tracks. Who doesn't want to keep this wonderful weather?

Lastly, cutting down on driving automobiles might have an effect  on saving people from car accidents caused by unfit drivers. Thousands of people die every day from unnecessary car usage. If we were to cut the amount of driving in half, the rate of death due to car accidents would find a steep decline.

In conclusion, limiting car usage can make the world a better place. This decision can lead to better health, less death due to car accidents, prolonging our planet's health, and less complaints about those roller-coaster like gas prices! It only takes one person to make a change, so decide if you want to be the one to potentially save the world.    ",3,0,0.7909018397331238
