essay_id,full_text,score,cluster,cluster_confidence
c92dce5,"This passage is about the pesidants, congress and other people and groups in the U.S government. It also tells us how Presidents are picked and when it is electing time. So in this essay I'm going to tell you what all happens in the court system such as how presidents get choosen, thus the time that presidents are choosen. Also i will be tellingwhat else there is in the government

In the united States we have a president and how president is in charge of the country and what happens. He or she is in charge of what happens in other countries that can deal or harm us. So far in history we have had 44 presidents. Some presidents have done a lot more for this country then others have. Presidents are choosen every four years by voting. The people that live in the country vote out of dozens of peopel who nomenate themself as president. Then they narrow down to 2 people and they count the votes frrom there and that is how the presidents get choosen

There are other people in the government other then the president. There are poilical parties. Also canadates. they both have differnent jobs in the court system. They arent as high up in the court system as then president is but thery help the president in what they do.                                    ",1,5,0.4541314244270324
6435496,"Ever wonder what is a "" Electoral College? Like what is that suppose to mean?, A internet campus, Tech class, or etc. Well its not actually A Electoral college is made for up coming presidents. That differrnt selections of people go and meet the president and vice presdent. The congress. The College consits up to 238 votes and only 270 on select for the presidecny.

The president electron is held evey four yeas an the Tuesday after the first Monday in November. When you are about to select a presdint you vote for your candidan

Two guys named Rich, Jummy carter, Chamber of Commerce and AFL-CIO and they are not alone according to Gallup poll in 2000, after Al Gore won the popular vote but lost the presidency, over 60 percent of voters would prefer a direct election to the kind we have now. Under the electoral college system voters vote not for the president, but for a slate of electors. The single best argument agianst the electoral college is what we might call the disaster factor. The election would be thrown to the house or Representatives, where state delegations vote to the presdient. Because each state casts only one vote to give th voters vote to the president and another for the congress,

The House's selection can hardly be expected to reflect the wall of the people, And if an electoral tie seems unlikely. A the base level the electoral colloege is unfair to voters. Because of the winner takes it all system in each state , candidates don't spend time in states they know they have no chances at win at these king of states for the president. They focuse only on the the tight races in the ""swing"" states. There many things in the Electoral College that many people on they outside don't know what the Congress or the up running presidents are struggling it looks easy on the inside bu on the ouside wow they have a lot to work on.    ",1,5,0.8031041622161865
9431736,"Dear Senator,

I think we should keep the Electoral College because it gives the people opportunities to vote for electors and presidents. If we vote for popular votes then that doesnt mean people truly know what president they want to run their country. When we vote we are actually choosing our electors when we vote for president because when you vote for your candidate you are actually voting for your candidate's electors. Some people think that the Electoral College was unfair back-then but what about now. Over seventeen sates did not see the candidates at all,Including Rhode Island and South Carolina. When you vote for a presidental candidate you're actually voting for a slate of electors. There are five reasons for retaining the Electoral College. One reason is certainty of outcome,Two Everyone's President, Three Swing States, Four Big States, and yet but not least Five Avoid Run-Off Elections. These are all practical reasons, not liberal or conservative reasons. It is entirely possible that the winner of the electoral vote will not win the national popular vote. The Electoral College requires a presidental candidate to have trans-regional appeal. Voters are likely to be the most thoughtful voters, on average and for the further reason that they will have received the most information and attention from the candidates, and the most thoughtful voters should be the ones to decide the election. Now in my case that is wrong because wether you vote or not everyone person should have the right to see what the president is doing to their country. So, other things being equal, a large state gets more attention from presidental candidates in a campaign than a small state does. There is pressure for run-off elections when no candidate wins a majority of the votes cast; that pressure, which would greatly complicate the presidental election process, is reduced by the Electoral College, which invariably produces a clear winner. It can be argued that the Electoral College method of selecting the president may turn off potential voters for a candidate who has no hope of carrying their state-democrats in Texas, for example,or Republicans in California. Each party selects a slate os electors trusted to vote for the party's nominee and that trust is rarely betrayed. The Electoral College is widely regarded as an person or thing in the past that cannot fit in the present. A non-democratic method of selecting a president that ought to be overruled by declaring the candidate who receives the most popular votes the winner.                                                                                                                            ",2,5,0.8553133010864258
f4f3ff2,"The Electoral College is a compromise between the election of the President by electoral votes. This has been around for as long as I can remember. It plays a very big part in our government.  Some people want to get rid of it. Others don't. Do you think we should keep the it?

The Electoral College balances out the amount of popular votes. If both candidates are tied, we turn to the state electors. The candidate that has the biggest amount of electoral votes wins. One candidate can have more popular votes and very few electoral votes. The popular votes are just for the state electors to decide which they are going to pick. In the end it all goes down to them, The Electoral College,

On the other hand, some people don't like this idea. The electors are sometimes depend on the state. Other times the state conventions, the presidential candidates, and sometimes the sate party's central committee. Voters think it's unfair. They spend a bunch of time voting for who THEY want, but in the end it comes down to the electors. So in reality it doesn't even matter who the voters choose. They really just choose a slate of electors, who then elect the president,

I think we should get rid of The Electoral College. It's not fair to the people. We waste all our time to vote on a president we want, to only end up voting for the electors. I understand that it does have its good affects, but it just feels like we don't even matter. Where's the freedom?

Some people think we should keep the Electoral College. Others don't. It has it's good things. It has it's bad. I personally feel like we should just get rid of it. What do you think we should do?    ",2,5,0.8699922561645508
d5a2731,"Dear State Senator,

I think we should keep the way we elect our President because we have for been doing this for so long this why would we change it if it's already perfect? And mostly because if we were to change it then the most of the former US Presidents would'nt even be President because of there rivals? actually had most votes, for instance in the 2000 U.S. President race , Al Gore received more individual votes then George W. Bush nationwide, but Bush won the election, receiving 271 electoral votes to Gore's 266, so you see? Bush was'nt the best but he was the closest thing to it, imagine how the U.S.  would be if someone else was President before. Would it be the same? Better? Worse? We will never know because we cant see things that never happened. And isnt the Electoral College a lot eaiser then an election by the popluar vote? So why change it now? We have been doing it this way for over 50 years and we never had a mistake, well not a big one at the very least.            ",2,5,0.8062951564788818
48f6ee6,"Dear Senator,

I believe that we should not keep the Electoral College because i feel as if it would be easier for people to vote somore people would actually vote. I know the Electoral College was established by our fouding fathers, but it is time to tart with something new and for something new to be established. I would honestly choose the popular vote because it also puts a suspence on people about who will win. The Electoral College may be widely regrded as an anachronism but when we vote we do not vote for a presidential candidate we're actually voting for slate electors. The college does not have a democratic pedigree which is another reason why we should use popular vote. When i vote i like to know as soon as possible and i feel as if we had popular vote it would be faster to do. Opinoins may not be taken inconcideration but my opinion is strong that we should use popular vote i really feel like more people would come to vote if we used that. People may feel like the Electoarl College is too long of a process so they just say oh i dont have to go vote so im not going to. The Electoral College avoids elections but without them how would we know about our future president and how would we know whether or not the person would do a good job at running our country? Overall i will stay with popular vote but if they choose not to do it that will not stop me from voting to choose who will run my country and do a good job at it! i know that whatever desicion is made was for the best intrest for our country.11    ",2,5,0.8571553230285645
f593565,"Dear,

State Senator,

I argue in the favor of keeping the electoral college. I think that it really doesn't matter what a single person vote can do. One vote will not make a difference. The state uses the americans vote, to see what we would pefer. Every vote an



important

' person makes, it counts that.

I personally think its a waist of time to vote,that us americans really have no say so in. I bet that if we all didn't vote this next go around, we would still have a president. All because, of what the



important

' people want. All 538 electors know who is better for the United States of America. So, why we vote?

The only thing against the electoral college, is what we might call the

Disaster Factor.

Back, in 1960, segregationist, in the Louisiana legislature nearly succeeded in replacing the Democratic electors with the new electors who would oppese John F. Kennedy. (So that a popular vote for Kennedy would not have actually gone to Kennedy.)

The Electoral College is widely regarded as an anachronism. a non-democratic method of selecting a president that ought to be {overruled} by declaring the candidate who receives the most popular votes the winner. The advocates of this position are correct in arguing the the electoral college method id not democratic in a modern sense. It is the electors who elect the president. NOT the people. When you cote for a presidential candidate you're actaully voting for a slate of electos. So, you might as well just let the electoral collge do the job. I mean if you want to go and vote mor power to you. But, like I said its a waist of time to do so!!!

Thank you for reading,

Ashlee    ",2,5,0.8905572295188904
e8ce1b0,"Dear state senator,

In my opinoin I think we should absolutely keep the Electoral College system. I think we should keep the way we elect our presidents because it's a non-democrac way. It's also easy and fast by killing two birds with one stone. Our founding fathers compromised the Electoral system and since we can't get rid of our admendments and change the Constitution I don't tink we should get rid of the Electoral College system. It may be old, but new things aren't always the best things. I think if the Goverment wanted to change it they should try it on a state first before they roll it to the rest of the nation, and we all know the goverment isn't that smart and won't do it because we are their test animals.

Another reason to keep the Elctoral system is because it's easy and effciant. If we just have the elction just be based off votes and not popular party it would be messy. The Electoral College System allows certainity of outcome. No run-off election because mostly likely there will be no tie. No arguing about the president being from a certain place or region so that state favors the president. Winner-takes-all system allows the people to pay close attention to the election. Swing states allow a little excitement during the election because some states like Florida you don't know which way they are going to go.  Big states also like Florida gets the president on the edge because the can loose every small state and still win with the big ones.

270 votes are not a lot of votes to win an elction with, but every vote counts. Some people may not vote because there are only two parties that most of the nation only cares about the Republicans and the Democrats. Some people dont like tovote in fear of their party not winning due to its unpopularity. But everyone should vote to express there politcal power. That's why we should keep it because if we change it we're changing our minds in the way vote.    ",3,5,0.8778190612792969
7a92d80,"Senator, we should keep the Electoral College. The Electoral College establishes judgement and fairness by giving upcoming presidents a fair shot. People have voices and the popular vote can be biased from state to state. The proccess if mature because they chose unbiased electors, and there is a majority of 270 electoral votes. The Electoral College has 538 electors, which gives a good amount of unbiases people. They figure this amount by one for each member in the House of Representaties plus two for the Senators, which you could be one.

The Electoral College is one of the best ways to keep a fair election. We people do not make the brightest decisions sometimes, and the Electoral College keeps us from making the wrong decision for who is going to be our next president.

People can be easily affected into turning on a candidate. They could not realize that the candidate would be a great president. The Electoral College gives the candidates a fair chance. The member of the Electoral College are fair and know what is best for the country. The specific Electoral electors for your state vote what the state wants, and is not biased on what other senators or electors want. This gives the people a good amount of say in the election.

Electoral Colllege keeps the people in line and gives the people a sense of establishment. The election of the president is every four years. This gives people time to decide on a new president and who they want representing their votes. Overall the Electoral College is one of the brightest decisions that America has made. For one the Electoral College gives people a fair chance in becoming president. Also the Electoral College helps make the voting process a lot easier.

We people don't yet understand why there are not more people realizing that there is an Electoral College, and what underlies is a great idea and even a better reality .            ",3,5,0.8363542556762695
eb63b28,"Different places from all over the world have different ways of choosing a leader . In the U.S we run a anachronism ,non-democratic method of selecting a president . When choosing a president  it is a competition between Democrats and republicans . I think it is best to keep the Electoral college because it wouldnt be fair to citizens , and its a thrill for the presidents to share there thoughts for upcoming events to change the world.

The U.S is supposably a free country , everyone has a right to vote , and freedom of speech ; if congress decides to not do electoral college , then it wouldnt be fair to citizens .Reason being is that , youd be hipocrytical , saying everyone has a right but you wouldnt let citizens pick who they would like to have run for president . People , would loose trust in the U.S if they didnt get a chance to atleast vote for president , everyone would be against U.S and most likely leave . Even if the people who voted for the future president theyd like didnt win they still will be satisfied enough , because they tried  .

When future presidents go up for election they become nervous , start to sweat , start to think twice about what they wanna say ,how are they gonna propose what to say , and to think are they really gonna keep their promise ?  They wanna share so much with us ; it becomes a thrill going up for competion . To know what to say , to bring people in , to share his/hers thoughts to change the world we live in . If congress were to change that , they wouldnt get a chance to share all there ideas with us , to get to know us as a family, to what we would like to help others . Without there annoying pep talks how do we know they dont wanna ruin the world ? Yeah its annoying but its worth standing there or watching it on telivision to hear , to feel the excitement of there ideas to help the low class , to help every class not evan the low class , its everyone to help everyone in the own ways .

The reasons for keeping the electoral college are that it really wouldnt be fair to citizens , and the thrill for upcoming presidents wouldnt be able to share there wonderful thoughts to change billions of lifes .Think of all the people that will be devistated of how the U.S changed the ways we vote . Having someone to run our country is very important , if we change our ways of electing , who knows what disaster will live in next ?                                      ",3,5,0.8117947578430176
