essay_id,full_text,score,cluster,cluster_confidence
fac246b,"Introduction: ''Calculate'' emotion like math homework? And how can a computer recognize the subtle facial movements we humans use to express how we feel?

Inteiductiuon: ''Calculation'' every day.

For instance, you can probably tell how a friend is feeling simply by the look on her face.

Introduction: ''Putting a happy face'' actually works!

Body1. Emotions are so important to everyone because without emotions there's no happy life. Being happy sad in life is not a chioce its either you happy or sad. All lide ask you to just to be happy i know it might not be happen all the time but we have to making happen. Being happy is a choice for yourself in life nobody your make day you have to make ypu own choice. When you make good choice in life you make your life more easliy.

Body2.''Calculation'' every day. For instance, you can probably tell how a friend is feeling simply by the look on her face. Calculation every day is not a bad choice if you just know what you doing. Life is not that hard i thought it would be sometimes we just need sometimes to think about our life. Sometimes i keep asking myself why others can't put themselves together and be a parther and why they treat humans like them bad. Its doesn't matter anymore in this world if God died for us and he forgive us we have to the same thing to others. Forgiveness is a big choice, all we need right now is to have a big smile in our face i know it gonna be hard but if we trust in ourself we can do it nothing is hard in life you just give it a try.

Body3.''Putting a haappy a actually works! Yes it does sometime but not all the time most of the time it works just the way you needed. The Mona lisa demonstration is really intended to bring smile. Imagine a computer that knows when you're happy or sad. Constatin stanislausky, had his actors carefully reproduce smiling and creating these amotion on stage.

conlusion. Emotion are so important to everyone because without emotions thete's no happy life. Being happy and sad in is not a choice its either happy or sad. ''Calculation'' every day. For instance, you can probably tell how a friend simply by look on her face! imagine a computer that knows when you're happy orsad. Constantion stanislusky, had his actors carefully reproduce smiling and creating emotions on stage.",1,7,0.6538764238357544
ac611e6,"The new technology it was created by, what does it do,is it a good thing. The software is the latest innovation fro professer. Thomas Huang,of the Beckman Institute for Advanced Science at the Universiy of illinos,working in collaboation with Professer Nicu. Sebe of the University. Dr. Huang and his colleague are experts at developing better way for human and coumputers to communicate.

The process begins when the computer constructs a 3-D computer model of the face;all 44 major muscles in the the model must move like humans muscels. Movement of one or more muscles is called an ""action unit."" Then Dr. Huang relies on the work of pyschologists such as Dr. Paul Eckman,creator of FACS.

They want to use this technology to help in a classroom to see when a kid is confused or boerd to help them to plan lesson that the kids will learn from. Eckman has claaified six basic emotions happiness,surprise,anger,disgust,fear,and sadness and then associated each with characteristic movements of facial muscles

I think we should use the new technology in classroom because I think I will become dectration to kids because they will want to play with it to see her they feel. This type of technology should be use for treapist to help read patient when they are talk about their life so the treapist know how they felt about that part in there life.",1,7,0.7423305511474609
e4020f0,"In this article I feel like the computers to identify some human emotions is cool. I want them to create a great technology like that, because it would be nice to look at someones human emotions. ""Dr. Huang said that the facial expression for each emotion are universal."" The calculations of the emotions will be endless. The Mona Lisa demonstration help people to smile more.

The people who wants to create this experiment wants it to become a success. This technology can make you laugh at anymoment. Also the emotions can change big time by pressing one key on the computer. They try to create these emotions by make people emotions change in their body.

In conclusion the main reason of this article was to show people that they can controll whatever they feel like it. Also most people in life wants to get controlled by some type of leader in life. They want to help people to wants to act to act better by changing their emotions in the act. Also I love the way that the mona lisa actitvity can change one single person emotion.  ",2,7,0.7784427404403687
ea16a1a,"Why they invent Facial Action Coding System? Well in my personal opinion this is a good experiment for student, family, etc, because sometimes people do not want show they emotions or feeling, for example: If a girl of school that has depression or personal problems and she do not want talk abaut that with her teacher or consuler and this girl is thinking in kill herself, if the school have the Facial Action Coding System the professor can save her life, that a great experiment, but one thing is all school can't have it because are expense so this experiment can't help to all students or families that need.

In the article ""Making Mona Lisa Smile"" by Nick D'Alto, the Dr. Huang says ""The facial expressions for each emotion are universal"" he is trying to said that they experiment is not just for people, he is says that is universal so that mean is for all that have face or that the Facial Action Cording System can read emotions for example:The Facial Action can read the Renaissance painting, Mona Lisa.

In conclusion the

Facial Action Coding System is a veryy good option for school they can saves lifes, and evit masacres of students with that Facial Action and be a major country. ",2,7,0.8231720924377441
045fabf,"Would you think its interesting for computers to analyze your emotion? imagine a computer showing if you're sad, wouldn't that be cool? Well if you think thats cool, Dr. huang and his colleague are creating new ways to figure out people's emotions through computers!

That is a good idea because this could impact investigation, like cops figuring out who the're dealing with. For example, say there was a bank robbery and the criminals got away, but soon the cops found them and arrested them, they could either sit down with them and try and work their way around to see if the're is something wrong with them or they could just snap a picture and figure out thier expressions by using the FACS, (Facial Action Coding System). that would make it easier on investigators because the artical says ""even though individuals often show varying degrees of expression like not smiling as broadly"". using video imagery, the new software tracks the facial movements in a real face. This technolgy can improve how well things are animated too, like on tv, and video games. overall i think this is a gonna impact so many cool things that is still to come.

The FACS is gonna change alot of things in a positive way, its going to improve ivestigation and recgonizing different facial expressions to those who are either really happy or really sad and depressed. ",2,7,0.7632877826690674
fc19ca6,"According to the article the Facial Action Code System i think is valuable to student in classroom's. I am for it because aacording to the text its tells you how great it can predict how your feeling. The article gives us a little information on how accurate it works numbers showing she's 83 percent happy, 9 percent disgusted, 6 percent fearful, and 2 percent angry it shows that the Facial Action Code System is an new way to figure out people's emotions. Also it says the Mona Lisa demonstration is really intended to bring a smile to your face, while it shows just how much this computer can do. Also this new software can show a lot about your emotions for example, if you smile when a web ad appears on your screen, a similar ad might follow. But if you frown, the next ad will be different. Also i think its a good idea for students in classroom because the computer could recognize when a student is becoming confused or bored and your teacher could help you or could try to do something more to keep you from getting bored. I think from the articlke this would be a great thing to get and to start using because according to the text its a great tool to use in the future. ",2,7,0.8558624982833862
185b01a,"In the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to identify humans emotions to see humans' reactions while they are using their computers. Computers can recognize emotions by the way you look, and it is allow to the computers to understand your feelings, and to change the topic because they used this technology to see Mona Lisa's emotions. ""The process begins when the computer constructs a 3-D computer model on the face; all 44 major muscles in the model must move like human muscles."" When technology developed they started their project with a 3-D computer.

A claim for the value of using this technology to read students' emotional expressions are that the computer can detected the emotions of the student because it has a ""Web ad appears"" on the screen of the student's computer, and it can see his/her different emotions by the way their faces are.

According to the text in paragraph 6 Dr. Huang explains how the computer might work if the student doesn't like what he/she has in the computer and it says ""A classrom computer could recognize when a student is becoming confused or bored, then it could modify the lesson, like an effective human instructor. The same technology can make computer-animated faces more expressive for video games or video surgery. Most human communication is nonverbal, including emotional communication. So computers can understand that, too."" It means that technology has developed, Dr. Paul Eckman and Dr. Huang created the FACS to see humans emotions, it has six basic as: happiness, surprise, anger, disgust, fear, and sadness. The Doctors are showing that the new computers can see what it is in your mind because they improved the technology.

My conclusion is that the ""Facial Action Coding System"" is a good appications for a variety of industries because it is able to detect exactly how other people are feeling, even when they try to hide their emotions. The new technology has ""Empathy because it can feels someone else's emotions and can handle the complex algorithms. ",2,7,0.8658804297447205
3f300cc,"The Facial Action Coding System technology is a new thing to detect how people are feeling using the computer. The Facial Action Coding System is valuable in a classroom because it teaches students how to use new technology. Using this system shows the students what all jobs are avalible in the technology field too.

Using technology like this can help improve the way students use computers and help them get jobs. in the future. Most new jobs rely on some sort of technology or require you to know how to use it. With this new tech people might have a job lined up that they did not know about.

This technology can also be good for detecting if someone is feeling bad or is depressed. They can use this as a form of helping people out if no one can tell they are sad. For instence in paragraph three ""Eckman had classified six basic emotions happiness, suprise, anger, disgust, fear, and sadness."". If they can use this to treat people who are not happy it can solve a bunch of problems in the future.

Since they can use this technology to see peoples real emotions they can tell students' emotional expressions. If they are sad they can do something to make them happy again and get better grades. I think this type of technology will become something greater than it already is.",3,7,0.8783283233642578
c98f82e,"Have you ever wondered how the kids feel in class but they dont ever participate and/or express themselfs. Well this article about ""Making Mona Lisa Smile"" is a great way to figure out some ways that some kids feel based on what they are learning. It is smart, unique, and valuable. These are the reason why the Facial Action Coding System is a great idea.

The Facial Action Coding System is smart because it allows you to see if the students are bored, interested, or just out of it during the lesson you teach. And you could also figure out different type of ways to manke a lesson or activity better that excites the children you are teaching to. In the article it states "" Most humans communication is nonverbal,including emotional communcation."" So this is basically saying that if we are not communicated with our mouths then what better way then communicating with facial expressions. This is why the Facial Coding System is smart.

It's is unquie because no-one has ever thought of this until now so the fact that teachers action care about how there students feel should touch some people. its also unique because it can tell the way your face is moving and the way your muscles move. In the articke it states that

""the process begins when the computer constructs a 3-D computer model of the face: all 44 major muscles in the model must move like the human muscles.""This just pushed to shove that if a computer can track all of your muscles in your face that that's pretty unique and different. And on top of that, they would pay that much money to make sure the kids have a good education is cool.

Lastly its valuable because if it's bettering the kids education and making a difference in their community, thats good. In ""Making Mona Lisa Smile"" its says ""feeling someone else's emotional state may happen because we unconsciously imitate another person's facial expression. Whoever tought thta making faces could reveal so much about science of emotions."" This is why its valuable because it can tell us things that we might not know but the computer knows.

This is why the Making Mona Lisa Smile and the Facial Action Coding System is smart, unique, and valuable in so many ways. If you dont think that you should get the Facial Action Cosing System you might want to think twice if you really love your students.    ",3,7,0.7923930883407593
18397b4,"Its valuable to use a technolgy that can read the emotional expressions of a student. I find it important to know how someone really feels and what they may be going through. For an example, many people hide what they truly feel, because of what others think. I have a great friend that really does not express themselves when we go out and hang, she always seems to be bored. The reality is that she has fun and likes the things I like, She may seem like she is bored, but you can tell when she is enjoying herself, she makes a small smile and looks over to the other side when she does not want me to see that she is having fun.

Having Leonardo da Vinci's painting of Mona Lisa is a great way to tell others an expression of all six basic emotions. The way Leonardo used his painting to get every single muscle to go with its roll in each six basic emotional expression of Mona Lisa.

We all have six basic emotions, which are: happiness, surprise, anger, digust, fear, and saddness. It is a surprise knowing when we humans are surprised an expression is shown in our faces, in the third paragraph the author says "" your frontails pars lateralis muscle raises your eyebrow"" when you're surprise. The most common facial expression is happy. In paragraph 7 it talks about how the instructions above were a happy face instuction, it also includes how their is a difference between a real and a false smile. Us humans have real emotional expressions. Our true expression never lie how we truly feel, as said in paragraph 8 "" faces don't lie; these muscle clues are sometimes used to spot when a ""smiling"" politican or celebrity isn't being truthful.""

In todays world many people express themselves and many people don't. In the reality many people hide what feel and make a lying expression, with noticeable information on the lying expression. In instance in paragraph 7, with the instuctions of making a smile, Having a false smile is different than a real smile. For example, in paragraph 8 the author talks about the muscle in the smile, "" muscles called orbicularis oculi pars palpabraeus make a crow's-feet around your eyes. But in a false smile, the mouth is stretched sideways using the zygomatic major and a different muscle, the risorius."" This tells how a false expression can be noticable and yet use to make a lie.

A technology that can read an expression of a student would be great, so that a teacher may know how a student is feeling and can help or observe. As known many famous people lie about how they feel and we as humans are no different than a celebrity. We all have emotion expressions that we express and falsely express to fool someone. Helping the ones who are sad and angry, fear and disgusted to succed and the ones who feel happy to succed as well.

Having the technology that can read emotion expressions in a classroom of student is valuable. Since most students don't want to express their feeling phiscally. These are my reasons why having a technology to read the emotional expression of students in a classroom is valuable.       ",3,7,0.7675753235816956
