essay_id,full_text,score,cluster,cluster_confidence
246b556,"Do u wont to know how a face got on mars.There are many apinyons what people think about it. I think something crashet in to it. Same people says othere whyes.

The face on mars is probly from the wilnd or somethink hiting it and it makes the face looking. According to the text they think it is a rale face or somthing. They tock pictersh frome the sadlight stachon in space. There are scientests studing that today.

What i think it was from a rock hiting it and it made the fac or it had a wind storme and it made that face. According to the text they think it was frome there rockets landing there. Many people have there own apionyons. People say someone made it to show they where there and did not tell any one so they have something to talk about and to descuver what hapened.

People wonts to know how the face got on mars. Many people dont like the way we are finding a face on mars. There are many things people wont to know about the face on mars and i think it is from wind or a big rock but thats me.

This is what i think about the face on mars. I had many questons runing throw my mind about the face on mars. One of the qustons i had going throw my mide is how would they see it on mars or if they where on mars and sall it mack a face.         ",1,1,0.8037666082382202
3e1faa5,"Not one human has ever seen a living species in Mars or in any planet. In 1976 an odd feature appeared on Mars. Many people think that it looks like a human face. These people believe that the odd feature could be an alien living on Mars.

The news has been spreading around that the ""face on Mars"" is a creature living in space. I don't believe that aliens are real. Aliens are a figure that someone made up a long time ago hoping that their were more people in the Universe. I know this because if there were aliens in the Universe, someone probably would have already found one.

A lot of odd objects float around in space. The face that people are seeing could just be a meteor. Meteors float around the Universe just trying to make problems. The meteor could have blasted into Mars and created the face like feature. Things like this are not very rare. Meteors have rocketed into Earth a great number of times.

I also believe in Jesus. I believe in every single detail the Bible says. The face could be Jesus showing people that he is watching us. Everything in the Bible has either already happend or will happen in the future. Aliens are not in the Bible, therefore, I don't believe they exist.

If aliens really do exist we would have already found one. Humans have thought aliens are real for hundreds of years. The object could be a natural object like a meteor. Meteors pass through the Universe every single day. What makes this object different? Nothing make the object different. Jesus Christ has all of the creatures we need to know about in the Bible. Aliens are just not one of them.                  ",1,1,0.7084730863571167
769f7db,"Although Scientist believed that the face was an alian artifact, i dont believe so, maybe it was just a wierd shape on mars they had saw, and assumed it was an alian,it could have just been how mars looked from where they were, or how it just looks in general. perhaps it was just a natural landform on mars, i think so. after more researching, comes to find out it was actually a natrual landform on mars, scientists are not always right, 50% of the time they are false, an the other 50% of the time the are positive. i think people were just wanting it to be a alian, so scientists did all this research, to find out and see what it was.

when scientist decribed this face they seen on mars, ""A shadowy likeness of a human face"" ""an enormous head"" ""Was staring back at the cameras from a region of the red planet called -Cydonia"", yes it does sound like it would be an alian based on how theyre decribing it, but wouldnt you think it could be anything other then an alian?, i think so, not everything with a shadowy like figure of a human has to be an alian, it could be anything really. Like just some natrual figure on mars. therefor this was not an allian artifact on mars, turns out it was just some natrual figure on mars.",2,1,0.825382649898529
3a97cf5,"The Face is just a natural landform. It happened 25 years ago. You can say its from aliens but it is not an alien! Iv'e seen pictures of Face. From reshearch only robots walked on Mars. Aliens are not even real. There are camras om thoes robots so they would know if they seen anything. Have you ever got a warning that an alien invation was about to occur?

I think that some dust and rocks made this shape occur. Scientist have thier studies. My question is how did this alien form this pop up form. If u say it was a alien does it live under the dust. I don't think so,because it adventually is going to die. This is nonsense to belive that aliens walked on Mars and formed a type of shape. It is just a natural form.

Why do you think this is an alien. One reason they would is because of it's shape. Do you have any evidence to prove to that this is an aliens shape. They probably would say no,because I do not see any antenas. That is a big hint to tell if that was an alien or not.

Were's the body all you can see is a face so why assum it's an alien. Perfect good sense would tell you aliens aren't real. It's just a from that was created by natual resources on the planet. Use your research and don't go believing anything crazy. Such,as aliens living on Mars with just a head. I mean use common sense. What do you physically see on an alien. A big head,antena's,body,and wierd looking feet.

This is not an alien people it is just a from that was created by natural resources. So don't go believing nothing foolish that we have aliens roaming different planets. Tust in NASA the greatest of all. Don't believe anyone who isn't and professional lke use. Nor trust a person with fause information,because they will have your mind,and you worried.                      ",2,1,0.8253349661827087
54a4e88,"Untill now we have never had a very clear picture of what is exactly that thing is. With the new high-resolution images the give us a better idea of what we are looking at. What this face on Mars is acually ia A mesa.

This human like face is nearly to miles in length and seems to be staring back at the camera. NASA was using the face on Mars to attract attention to Mars. While some say that the Face is bona fide evidence of life that NASA would rather hide. Defenders of NASA say that they wish there was an ancient civilzation. If there happened to be an acient civilzation on Mars just think about all to stuff that scientist could learn from Mars that could help describe all of the other planets.

The picture captured by Global Surveyor was ten times sharper than any of the other pictures ever taken. As the world saw this picture for the first time revealing a natural landform and that there was not alien monument after all. Some still belive that the face on Mars is an acient alien civilzation, but proven by scientist this Face is just a natural lanformation.",2,1,0.8684066534042358
3402605,"Hello, my name is Lisa, and i'm a scientist here at NASA. I have heard that you claim that aliens have created this landform we found on Mars.

There has not been any life found on Mars at this momment. It does look like it could be from another living organism, but it's just a rock on the planet. In our newest image of the rock, it turns out that the face has dissapered. There is no evidence of this being created by aliens, rather it was created by wind and water that has been found on Mars. The reason you might believe that this was indeed aliens, might be the fact that the news has blown it out of poportion. It's just the rock that had some interesting shadows and holes that made it look like a human face.

In conclusion, all i'm trying to say is that it cannot be aliens, it's just a rock on Mars. Thank you for your time. ",2,1,0.8241175413131714
79966fb,"The face is a natural landform becuase it is the Martian equivalent of a mesa, like landforms in the American West, and Michael Malin and is MOC (Mars Orbiter Camera) team snapped a picture ten times sharper than the original Viking photos.

The face on Mars is a natural landform because iut is the Martian equivalent of a mesa like, landforms in the American West. The Author stated that ""It reminds me most of Middle Butte in the Snake Rivedr Plain of Idaho. that is a lava dome that takes the form of an isolated mesa about the same hieght as the Face on Mars."" says Jim Garvin.

Michael Malin and his MOC team snapped a picture of the face on MArs tens times sharper than the origanl viking photos. Thousands of web surfers were waiting when the image first appeared on a JPL website which had revealed that the face on Mars is a Natural landform, which did not satisfy everyone that there was no alien monument after all.

In conclusion, the face on Mars is not an alien made monument it is a natural landform made from the sand/soil of mars. It has been scientifically discovered that aliens did not make the face on Mars.",2,1,0.8653944134712219
aca3239,"We humans have been trying to discover aliens for more than a million years. Why have we not found them yet? We have been up in space multiple times and we have had yet another more multipe times sent space robots that went into orbital. So ask your self this question why have we not found aliens yet?

I think due to evidence that it is a natural landform. I think it is a natural landform because in paragraph one it states that ""...when it spotted the shadowly likeness of a human face."" When I read this I then concluded that it only really looked like a human because of the shadows that make up the ""eyes, nose and mouth"" in which makes this rock figure looking as if it has a face. I do think that is a natural rock landform because God created the earth so that only people would live on earth. Also God never created aliens as it states in the begining of Genisis in the bible. Another example of why that the ""face"" on Mars is a natural landform is because it states in the text on paragraph seven that ""There was no alien monument after all."" This is poroving that even scienctists have conculuded that there was no landform on mars. Then on April 8, 2001 the space station found to ""face landform"". Though due to the pixalation i think that it did not look like a face anymore. The scientists should have put each photo in the same pixilation because it would have been an accurate demonstration over the years and how this rock landform has formed.

Based on the evidence from the article and my past knowleadge I have conculded that this rock landform is in fact a natural landform that aliens have not created/ made this face looking landform. So what do you think?",3,1,0.7827661037445068
0ba78ec,"The face of Mars could not be created by aliens. It is a land form created by the conditions of mars and looks like a face only by coincidence. Mesa's are common in this area of Mars and there are many others like this one just without the same shadows which makes the appearance of a human's face.

Out of so many different land forms in Cydonia why should this be any different. In the second paragrapgh of the article, it stated that the Cydonia region is known for its buttes and mesas. The face of Mars is just another mesa no different that any other one except for its unique shadows. It is strange to see a formation on an supposedly uninhabited planet that depicts a ""human"" face. Espescially when no human has ever set foot on the planet of Mars before. But at the same time, that is all the more reason to believe that this is nothing more that a weird coincidence since no person has ever been there.

To conspiracy theorists dismay, this strange landform is nothing more than martian butte or mesa and a weird coincidence. It is an interesting formation that stumped and puzzled scientests all over the world. But we now know the formation is not anything that will reveal alien lifeforms or alien activity.        ",3,1,0.8584964275360107
44a1d3c,"Did you know that Mars has a natural landform that looks like a face?The Face that is on Mars is just a landform because it has changed over the years,NASA captioned it a ""huge rock formation"", and many scientists have studied the landform.

First,The Face that is on Mars is just a natural landform because over the years NASA has been taking pictures of the Face and the more pictures that NASA took the Face did not look like a Face anymore, it looked like a natural landform that was on Mars.

Next, many scientists who saw the Martian Face that is on Mars,figured that it was just a Martian mesa that resembled a human head which was formed by shadows giving the illusion of the human eyes, nose, and mouth. Authors reasoned that the image would be a good way to engage the public to attract their attention towards them knowing more about Mars.

Finally, a few scientists believed that the Face was an alien artifact and sent the Mars Global Surveyor to the Red Planet. When Mars Global Surveyor flew over Cydonia, Michael Malin and his Mars Orbiter team got many photos which were sharper than the original Viking photos. The images were soon on a JPL website where the thousand of web surfers saw the image which revealed that it was just a natural landform.

In conclusion, The face that is on Mars is just a landform because it has changed over the years, NASA has captioned it a ""huge rock formation"", and many scientists have studied the landform. Also now that people know the Face is not a face at all, but just a landform that NASA studied and analyzed many times will help the people know that they should wait and to not believe someone who has not seen it.",3,1,0.911712408065796
