essay_id,full_text,score,cluster,cluster_confidence
abe938a,"The reason why he join the program is because he know's how the people are like. So that's why he is doing the program to help people with there lives. Luke what's to convinc the other Seagoing Cowboy program. To help the other people that need help and can't eford it. The opportunity he made for the Seagoing Cowboy. It made him more aware of people of the other countries and their needs.

Luke what a awarness stayed with him, leading his family to host a number of interatoinal students and exchange visitors for many years. It made him more express and enjoy the world. It made him see the hole world and he said it was a good a opportunity to join the Seagoing Cowboys. Luke found time to have fun on board.

He want's to help the countries and the world to make it a better world. He whats the Seagoing Cowboys and he want's them to help with the awarness to help the people and the children with there homes and contries.",1,6,0.7553229331970215
afea0e5,"May 19,1950 9:30 A.M.

""Wow, I Just had a dreamed about when I started to become a seagoing cowboy, man those were the doy days."" ""Well time for breakfast"" I said. Then Like went downstairs and ate some bread. Then I went outside and went to the store and buy some food. Then he went to his family's house to talk to some of the visitors.

May 20, 1950 11:00 A.M.

the next day I got up and did the some the same thing as yesterday but today was a bit different because today My friend Don was trying to find me. Don was able to find me at the ice shop and said that we need to go the Seagoing cowboys program today to teach any of the people who has signed up.

1:34 P.M.

When got there, the place when they held the program was different becaue no one was there. Then we was a sign that said"" ANY EXPERIENCED SEAGOING BOYBOYS COME IN."" ""Ok then"" said Don. Then we When inside there were some old Seagoing Cowboy I remenber.

1:40 P.M. 1950

Then an old man got up and said, "" Thank you you all for coming, I am her to tell you than we need your help."" ""What kind of help?"" asked some Seagoing Cowboy. Well we need you all to go on a little trip back to Europe to help some People out over there becuase some the Students over there needs some adive about some of the jobs you did back in 1945. ""Ok, sure thing"" said most of the Seagoing cowboys. but some of the rest asked 'what, why??"" Well the ship leaves the next day so pack some of your things you well need.

May 21, 1950 Noon

Don and I got on the Ship and into a bunk room. ""Well just like old times"" said Don

""yup"" I said back. ""Well I am going to explore the ship do you come?"" I asked. ""How about we unpack out things."" Don said ""Ok"" I said.

June 2, 1950 9:00

""there is a thunder storm out side I wonder if lighing is going to hit the ship?"" I asked. The odds of that .. BOOOM!!! Then the alarm came one and said everyone to get to the life boats. Don and I tried to pack our thing but we only pack hlaf of our things and that fell over board while we got in to the life boats.

June ? 1950 ?:??

Don and I woke up one the beach of a nearby city with a few Seagoing Cowboys. ""Where are we??"" asked Don ""I don't know"" I said.      ",1,6,0.5652663111686707
5c57d50,"It would be an amazing oppurtunity to be able to go and be a Seagoing Cowboy, I mean imagine all the things you could see, and places you could go. You may never have this kind of oppurtunity again, so why not take it. All you have to do is feed some cattle a couple times a day, clean some stalls, and if your the night watchman, all you do is check on the cattle once every hour then report back to the captain.

After you drop off the cattle or shipment at its desired location you can go look around and do some sight seeing. No matter where you are i bet you can see some amazing things, even if your not much of a sightseer i bet you'll end up seeing something that you've never seen before.

Then on your way back home on the ship, you and your crew mates can play games and sports where the cattle or shipment used to be to pass the time. Being a Seagoing Cowboy may not seem very fun, but it can be if you make the most out of it.",2,6,0.7411688566207886
e6c98dc,"Seagoing What?

Well if you think that the Seagoing Cowboys is bad well, let me tell you about it! See the Seagoing Cowboys program is that 1945, World War 2 was over in Europe, and many countries were left in ruins. To help these countries recover their food supplies, animals, and more. 44 nations joined together to form UNRRA.UNRRA hired Seagoing Cowboys to take care of the horses, young cows, and mules that were shipped overseas. So Luke Don signed up!

In Augest 1945, they received their orders to report to New Orleans. It took about two weeks for them to cross the Atlantic Ocean from the eastern coast of the United States and a month to gt to China. Caring for the animals during the crossings kept Luke busy.

But being a Seagoing Cowboy was much more than an adventure for Luke Bomberger. It opened up the world to him.

The cattle-boat trips were an unbelievable opportunity for just a small-town boy. In the Seagoing Cowboys, you can go on avdentures and visit many unique places. I know in your opinion that its a lot of work but you need work to get things and go to places that you want to go. So thats all i have to say. I hoped that you liked my essay!",2,6,0.8674383163452148
1be4323,"why should we participate in being a Seagoing Cowboy? Some people ask but barley anyone knows. This might help us some times. But I think this will tough. We should do this, because it might help us, you sometimes get free time, and it is easy.

This job might help us alot. We can earn money and get a new house. You are shipping things. Things like milk dairy and other things. You could get a new house or a new car it might be able to be big small or whatever size you want it to be.

On this job you sometimes get freetime. You get freetime if you work hard on your job. The games we can play are like Poker, Cards, and more. If we don't want to play games we dont have to play any games. Therefore it is your choice if you want to play games or not.

Lastly this job is very easy. Mostly because all you have to do is ship crates with animals in them. The story says Luke also found time to have fun on board, especially on return trips after the animals had been unloaded. The job is probaly the easiest job you can find. So if you want this job for any reason it is a great job.

The job is great for all of these reasons. if you frogot what they were the reasons are that it might help us, you sometimes get free time, and it is easy. I think this job would be great for any of us. So if you want this job and if I were you then I would take it. Therefore I think this is a great job.",2,6,0.7849121689796448
1740c90,"You should join the Seagoing Cowboys program because its an exilent way to show service for the ones who need it. Not only that but it allows you to explore the world and it magnificant sight it contains all around it. This could end up being an adventure into of your life that you will never forget about. And also you olny live once in this world so you might want to see all around it instead of living your entire life stuck into the same area that you live in. So become a fantastic service to our world show every person what you do and of how amazing this program realy is. Also shure you will be aboard on ship for very long periods of time but you can also have fun with others durring on board. You can play sport game in the ships like volleyball,baseball,table-tennis tournaments , and boxing as well. You can also do fencing,reading,and whittling for of these things can realy hep the time pass by in a fun and active way. But obviosaly you still have to help out in work durring this period. In this job its also into about helping animals that can also be very exiting to do. You also have to feed them as well though. So now do you think your ready to make a change into of your life one that includes adventure in it?  ",2,6,0.8128918409347534
1d2f823,"More people should join this program because, you can travel to many different places overseas with many different animals. A couple places of those include New Orleans, and Greece. The animals you travel with get to be in a new place and get plenty of food and water on their trip.

Also your life could change big time. You an go from working one or two part time jobs to being in new countries! Thats what Luke Bomberger did, and he loves it! Best change he's made in his entire life.

You will be helping Europe regain it's food supplies, animals, and so much more! Which is why the UNRRA hired Seagoing Cowboys. So they can take care of the horses, young cows, and mules that were shipped overseas.

Joining would give you an incredible once in a lifetime oppertunity. You won't find anywhere else that lets you travel around the world on a boat with animals. Also this oppertunity is only given to certain people!

In conclusion to why more people should join the program, I think you should because you travel to many different places, your life could change completly, you'll help Europe, and joiniing this will be an amazing oppertunity and won't ever come again! So please, come join this amazing program please!",2,6,0.7646973133087158
4e14b2f,"Being a Seagoing Cowboy is fun! My friend Don Reist invited me to go to Europe in a cattle boat. It sounded fun, the chance to travel around the world and go see places I've dreamed about. I mean how could you pass up an offer like that? So, of couse I said yes. It was 1945, World War II had just ended in Europe, and countries needed help recovering from the war. To help these countries recover more than 44 countries joined together to make the United Nations Relief and Rehabilitation Administration or the UNRRA. This program hired ""Seagoing Cowboys"" (that's what I was) to take care of the horses, young cows, and mules while the animals were on the ship. Don and I signed up of couse it sounded fun, and I had helped my Aunt Katie on her farm when I was a boy so I has some exspirence. Finally we received our orders to report to New Orleans, I couldn't wait to go out and help people. We had arrived on August 14, that's the day the Pacific war had ended. When we got our seaman's papers we boarded to SS Charles W. Wooster, we were heading to Greece, I was so excited. In cargo we had 335 horses plus enough oats and hay to feed of the horses.

I had turned 18 before I had arrivede at Gresse, so that meant I could be drafted for military service, but when my draft board had leanred I was on a cattle-boat trip be just told me to keep doing what I was doing. In the service you help people and help to fight for your country and if he told me to keep doing what I was doing that means I'm doing something that is going to help people in a big way. The cargo is going to help feed people in need because of the war destroying their food supplies. Not only did I help people, I also got to see Europe and China. Seeing the Acropolis in Greece was special. Also taking a Gondola ride in Venice, Italy was amazing too! The city with streets of water was beautiful. I also go to tour an excavated castle in Crete and marveled at the Panama Canal on my way to China.

On theses trips I got to meet new people and see new places. I got to help people in need, and that felt good. It feels good when you see someone that's suffering because their home was destroyed and when you help them they have a smile on their face. Taking care of the cattle, horses, and mules was fun. We also found the time to have fun on board, especially on the return trips after all the animals had been unloaded. Us cowboys played baseball and volleyball in the empty hold where the animals were housed. We had table-tennis tournaments, boxing, reading, fencing, whittling, and games aslo helped us pass the time.

There are so many opertunities when you're a Seagoing Cowboy. ""It opened up the world to me."" ""It made me more aware of people in other countries and their needs."" I took an offer of a life time, and you should too! Most importantly to me I know I helped people and I made a difference!",2,6,0.8242014646530151
798836c,"There are many reasons to join the program . Today im gonna convince you that people should be able to join.

I think it would be a great idea to join the seagoing cowboys program because... It would benifit them, they would be able to explore the world & i honestly think that would be great for them to experience the world. Another one is being able to help the animals with trouble that have been injured or left on the streets.

A good thing is you get to spend time with animals all day long! I think that would be fun. What i think is more fun is spending your time in the ocean, imagine being in a boat & all of the sudden you hear dolphins! How great would be?

Its not all just about helping animals once there all prepared & token care of you get to play with the cowboys! Baseball anything you desire they'll play. What its really about i s opening yourself up to the world & being grateful for trying the oppurtunity & giving it the best you got! & being aware that other people need needs. Not just you, but other people will appreciate you.

But honestly my conclusion you should sign up because i think it would be fun & adventoures!",2,6,0.7758018970489502
5e08e98,"I know the the reason that Luke joined the program because,according to the article in paragraph 1 it states , Luke's friend

Don Reist invited him to Europe on a cattle ship. Of course Luke could not say no to this offer when he knew it was an opportunnity of a life time.

When Luke arrived to New Orleans the day right after the Pacific war ended Stating in paragraph three. Luke already knew that this was a extordinary opportunity comeing forom him since he is just young man from a small town listed inparagraph 5. Luke knew from all the hard work he has done he was already nearly prepared for the work he would be doing on seas stated in paragraph 3,also he would be doing plenty of work from when animal needed to be feed at least 2-3 times a day plus thier stalls had to be cleaned. According to paragraph 8,

Luke would also have time with other people when the animals were boarded off they would play in thier stalls with volley balls or table tennis, boxing,fencing,reading and other game that passed time by.

Fianlly Luke knew bieng a Seagoing Cowboy would be a really great adventure. Being what he was helpin animals after war would surely open the world up to Luke himself. luke knew he was very greatful for the opportunity he had when it could been given to someone else. Luke stated in the article paragraph 9 ,""It made me more aware of people of other countries and thier needs"", when they all needed help with thier lives Luke would come with supply and carry on to the one with the same problems unlike Luke , Luke had a nice life in his small town thats why he shared some with the world and helped many countries Luke gave his time and hard work to many's of hundred, one thing Luke surely did is that, Luke gave.",2,6,0.6959794759750366
