essay_id,full_text,score
64e9501,"Millons of fatal crashes are reported to occur each year. Most of these crashes are reported to have been due to driver error. What if there was a way that we could still be able to get to the places we want to go safely, and efficently with the use of a vechicle, but without actually having to drive. The new innovation of ""Driverless"" cars could have so much to offer. Driverless cars could let people with disablities be able to go places on there own and become more independent, it could also begin steeply decrease the amount of crashes each year that are due to drinking and driving, and it could save our economy plenty of money and gas.Due to the better fuel efficency a driverless car has to offer.

Many of adults of the legal age to drive are unable to be indepent in getting

places on there own due to a disability that makes it unsafe, or even impossible for them to drive. With the invention of driverless vechicles, it could potientally provide a way for people with disabilites to be able to drive, and own there own vechicles. This would be a great thing for people with disabilites, because it would open alot of opputunites that they never have had the chance to do before, and overall would give them a sense of indepency.

So many people have been victums that have been severly injured, or even in some cases killed due to a crash caused by a drunk driver. If driverless cars are legalized, this could change dramtically decrease the amount of cases of crashes due to drunk driving that occur each year. If people were able to safely get home on there own while under the influence, without even having to step behind a wheel it would create better and safer enviorments for anyone planning to travel on the road.

Alot of people argue that driverless cars would be pointless because the average everyday person would never be able to afford one. Although even though buying a driveless car could be at intial buy a pricey investment the end result you would actually save money. The driverless cars that are already in process of being manufactored are all extremly fuel efficent. As stated in the article the driverless cars are forseen to only use ""half of the world's fuel of today's taxis"". If driverless cars use better efficeny, than the average person will then spend less money on gas. So after a few years the intal price of a driverless car will be a good investment to make

Driverless cars truly do have alot to offer. They are very innovative and they can improve the lives dramatically of everyday people, including those with disablitles limiting them to be unable to get places on there own. Drunk driving rates could steeply decrease if we begin to use driverless cars, and even though it is a more pricy investment, the amount of money, and gas it can save the average everyday person will make a driverless car a smart investment.           ",3
d3bc7e7,"Have you ever thought about joining the Seagoing Cowboys? If not then take a read into this artical about why it is a great journy and an amazing site to be one. It may be hard work, but the fun you will have is going to be crazy.

Being a Seagoing Cowboy is alot of work. It is very hard. But i can assure you that you are going to have the time of you life. You are going to see many amazing places such as China. This is a thrill taking event we don't want YOU to miss. You also will not be promted to join the Army by the age of 18. This journy has many things you can do! You are to help the poeple in need, such as the people who are ingourd. Or you can look over and watch the beatutfil seas as you are being a watchgaurd. As Luke Bombeger (he was a man who porticipated in this act) once said "" I'm greatful for this oprotunity! It made me more aware of people and other countries and their needs.""

Not only will you just watch the seas or help the people but you can also do things such as, table-tennis tournaments, fencing, boxing, reading, whittling, and games games to pass the time. You will do thease things because even though you are on a hard trip that you should be working on, you have free time. In fact you will have LOTS of free time! This will help you think clearer while you are working hard on those bing wide oceans.

As you can see you have a lot of hard work to do, but i assure you that you are going to have the time of your life on the big ocean. There are so many sites to see, creatures of the sea to hear, and work to do. There are so many things you could be doing. There are so many sites you could be seeing. This is one big oprotunity of a life time. You can get SO MANY adveantages such as not being drafted for the war. You could take thease advantiges from your hand RIGHT NOW! You could be riding the sea and be in so many places that are only in your wildest dreams. You could go and see an amazing exotic animal if your lucky! Now see, why would you pass this off. Why would you say ""No thank you!""? Because you have the ocean. You are a Seagoing Cowboy. This life may be hard, it may be frightaning, it may even be a lonly trip for you, but you will meet some of yourbest friends fo a life long on this trip. You could get over your fears of the waves in the BEST WAY POSSIBLE!!! Amagine this life. Amagine riding the waves with a big smile on your face. Amagine your freinds being right there by your side. Amagine going to your favoret place in the ENTIRE WORLD. YOU could go there. YOU could make friends. And YOU can make a life that people would always want. You could make this all yours and you could have the seas be only a small portion of the world. This could be somthing that you don't want to pass down. Think about this. Think about the amazing world and life you could have if you wanted it. If you are for this life. If you have wanted to ride the seas. Then THIS job is for you! This is the PERFECT job for a person like you. Think about it. Amagine it. And take it. ",3
6bd8e65,"Seagoing Cowboys aren't like pirates, or like land cowboys that rob people and do aweful things. They help out people when they are recovering from the terrible things that hitler and World War II brought them. When you sign, up you don't have to risk doing army time and going to fight becasue when you are a seagoing cowboy, it counts for your service time. Also, you get to see the world and how other people are living and how cultural our world is. In this essay I will tell you reason why is I know I did the right thing by sighning up to be a seagoing cowboy, and why you should sign up too!

The most important thing that I was able to do was to help out my community and beyond. When people were suffering from traumatic losses and hunger I was able to help heard and bring animals to the Jews, Germans, and Aisans that were all suffering from the outcome of the war. They were in poverty and were in need of people to safely get livestock to them so they could eat and be whole again. I think that by sighing up you get that sense of heroism and you know that you did a good deed. I think that by also sighning up it really helps life or death problems.

When I sighned up I knew that I would have to go fight for my country and maybe even die in battle. So, I turned 18 during my first trip and I knew I would have to stop what I was doing and to go serve in the army. But, when I went to go speak with the army, they said that helping to bring food to families wounded in the war counted as War time. I overjoyeced becasue I loved to do what I was doing and I didn't want to have to end that. Also because I didn't have to risk dying! Phew, thankgoodness! So thats why you should also sighn up so you don't have to go out and get shot! I also realized how big of an oppertunity it was and how much of the world I was going to be able to see.

The cattle-boat trips where an unbelievable oppertunity for a small-town boy like me! I had the benifit of sight seeing Europe and China. I saw the acropolis in Greece, and took a gondola ride in Venice, Italy, with streets of water! Water people, I mean who would pass that oppertunity up? I toured an excavated castle in Crete, and awed at the Panama Canal on my way to China. Grece was very speacial, and China was amazing! When you take the chance of going out and doing things in the world you get see magnificent things. Even when your traveling between countries, you get to experiance marine life and biology!

See? That's the thrill of it all, that you get to be a real hero, not die, and see the world through your own two eyes! Now people might say that you don't get to see everything and you need to ""die for your country."" Don't listen to them, they are just being cynical. You make the decisions and you don't need one bad review to change how you feel about doing something! People might just judge you, but guess what they are just jealious that you get to see the world and be a true hero. That is why you should sign up to be a sea-cowboy. You never know where tomorrow will take you! I'm going to try to immitate Uncle Sam now, We need YOU to be a seagoing cowboy!",5
43fc6ff,"They say venus is worth studying because it is closest to earth at some points. Venus has far too extreme climate then any human can survive even more encounter. Venus as they call it is a evening star it is the brightest points of light in the night sky.

Many people refer venus as earth twin it is the closest plant to earth in size and density. They have been many shipps and crafts try to land on venus but many of them are unamed succesfull. they could land but not last more then a few hours. Venus is unsafe for humans because the surface can get up to 88 degrees fahrenheit we would burn alive we couldnt last more then a couple hours there even with extremem gear. The atmospheric pressure is 90 times stronger then what we deal with on earth.

In cunclusion Venus is not really a planet we can land on and begin earth civilazatoin. It is far to extreme for any human. It is to hot as it to dense. Although venus a plant nasa would like to study more and get more infromation about it Technology way advanced now but even then it is nearly impossible for spacecrafts to land and for humans to explore.     ",2
92069ac,"Many people in today's world depend on cars to get them places. They don't realize the effects cars have on our environment and how much better things would be if we limited car usage. There is many other ways of transportation that are much easier and better for our world. I believe car usage should be limited because it will cause less pollution, it will take away stress, and it will save people money.

When cars are used, they release chemicals into the air which causes pollution. Pollution is not good for our air and wears down our atmostphere. Global warming has always been a serious matter with the amount of people who drive cars so if we cut back on the car usage, it would decrease the amount of pollution going into the air. In Source 2 it shows an example of how Paris had intesifying smog because of these cars. They banned cars for a couple days and the smog level dropped. Also in source 2 it says "" Congestion was down 60 percent in the capital of france"". When cutting down on car usage, it helps many things and can help you stay healthy and feeling good.

Another major reason we should cut down on car usage is that it will take away a lot of stress us humans have. In source 3, buisnessman Carlos Arturo Plaza said "" It's a good opurtunity to take away stress and lower air pollution."" Imagine your driving down the road and some guy pulls in front of you without a blinker and you almost hit him, you get all mad and stressed out that you almost hit him. Road rage is very common in drivers and we could decrease that stress with limiting car usage. Also if you were to get into a car accident, that gives you so much stress which affects your everday life.

To buy a car, you need lots of money. You need to buy the car, then buy insurance etc. Why don't just save your money instead of buying a new car when you could just use some other form of transportation. In source 4 it states, "" .. Cash strapped Americans could not afford new cars, and the unemployes weren't going to work anyways."" This shows that many people don't have the money to buy a car, why spend you money on a car that is not needed instead of buying something else. Cars are not mandatory, you can get to places many other ways and could save lots of money. Also you could save money on gas if you didn't have a car.

In conclusion, limiting car usage will only result for the better. There is plenty of other ways of transportation that aren't as harming and expensive as cars are.         ",4
a7efa1a,"Everyday new thing are breing created because of the advances in technology. In the artitcles ""Diverless Cars Are Coming"" the author talks about the goods and bads of a diverless car. Although the idea of a diverless car hasn't been fully develope, they predicted that it will be by the year 2020. In the my perspective I think the idea of a diverless car is bad because of the many problem it could cause.

A diveless car is not exactly ""diverless"". In the ariticles it said, "" The car can handle driving funtions at speeds up to 25 mph, but special touch sensors make sure the driver keeps hold of the wheel...human driver must remain alert and be ready to take over."" This tells us that a diver still need to keep hold the of wheel and stay alert. The human still have to be on the look out and take over when their is a problem.

A diverless car is not safe because it can bring technology problems and failuar. It said in the articles,""New laws will be needed in order to cover the liability in the case of an accident. If the technology fails and someone is injured, who is at fault-the diver or the manufacturer?"" This tell us that even if the diverless car is developed their will still be flaws. As it was mention in the article if someone got injured who would be at fault? If the person got injured they would blame it on the company and their would be problems.

Rule are their to keep us save and if it change it could cause many danger. In the aritcles it said, "" traffic laws are written with the assumption that the only safe car has a human driver in control at all time."" This is agreeble because its better to be safe then sorry. Things can happen when driving a diverless cars, so it way safer if that person was in full control of its car.

Diverless car can bring many accident if it is not fully developed or safe. It can bring disagreement between people if their was an accident and it is safer when the person is in control of its vehicles. Driving is already unsafe for most people and if diverless car is develope it can be more unsafe.    ",4
a56b9af,"Although, many people may think that going to Venus despite the dangers is not a good idea going to venus can also be benitfical with new safety measures, and technolgy.

One reason is, Venus is a sister planet to Earth but we don't know alot about it so we need to go there. Going to venus can be benitfical in may ways. One way is thet it can give scientist good research that they don't have. It can also give them a way as said in the article ""to examine more closely"". Lastly we could gain more knowledge on living conditions in Venus.

Even though, Venus is not the safest palce for anyone or anything to be NASA has came up with new safetey measures to ensure the people's safetey. For one as said in the article Venus is a hot place. So NASA has came up with the idea that the people that will be going to venus would be floating on top of venus so that they will not only be safe but alive. Another way to ensure saftey is to use silicon devices since metal melts on Venus, and studies have shown that using silicon is efficient, and in the article is said to last ""for three weeks"".

Furthermore, not only do they have saftey measures they also uses technolgy. From past reasearch it is known that Venus burns metal so that means that to have good resaerch you have to find somthing that is not meatal to conduct your resarch. So NASA has made another project when they look at old technolgy, and they realised that mechanical computers would help when researching Venus. Mechanical computers conduct ""calculations by using gears and levers"". Also mechanical computers does not need electronics at all.

In other words going to Venus can be very resourcful and problaly become of use in the future.                         ",3
7152619,"We live in an age of technology where one could not go a single minute without being influenced or even witnessing tech. Going off of that, technology is used more and more in the educational system, with classes using computers and i-pads for everyday acivities. The Facial Action Coding System would be a perfect addition to the educational sytem and could even make a huge impact on average people's everyday lives.

Technology in schools is a wonderful tool, offering millions if not billions of different sources and programs online with the click of a button. When used properly, students can grandly enhance their learning skills with the use of technology. However not every program, resource, or tool works for every single student, which is where the Facial Action Coding System would come in. Using this device, teachers can potentially get feedback on whether student's are enjoying what they are doing, what one could do to make a student's learning experience better, and with this device a teacher could even tell if their class is confused or bored. Since emotional expression are so important in a classroom, a teacher could potentially even modify the lesson plan based off of the overall moof of the class.

This invention is groundbreaking on it's own, and bringing it into the educational system with it's proper use and encorporation, could be of tremendous help to the United States educational system. ",3
c4d960b,"Hi, my name is Lucas and I had an amazing experience by being a sea cowboy. I got to visit many places that back then many people cound not visit. Also I made a lot of good friends. When my trip with the animals was over my friends and I would kind of have a party we would play games like volleyball, fencing, baseball ext. Like I said this opportunity opened the world up to me. I am glad that I now understands other countries needs and the people from those countries. When I was done being a sea cowboy my family and I had like foriegn exchange students stay with us. I could also teach my family about the foriegn exchange student. Like what his country was like and what animals I brought to that country. Like I said this opportunity had a lot of good effects come out of it. So if you would like to travel the world and learn what different countries needs I suggest being a sea cowboy.",2
9402ac5,"If I was a scientist at NASA discussing the Face with someone who thinks it was created by aliens, because in the story it's saids that '' Face on Mars'' has since became a pop icon. If I was a scientist in NASA I would found out how did the peron face came to another planet. They have to get out the earth to come to another planet to just put your face on it out of no were. But if a person did put there face inprint on a another planet, I think they will turn into a alien. I will tell you why I said that, because people say that aliens are real and they harm creatures. Also, if I'm the scientist this will tells that a FACE on a human body doing on a another planet they should be on earth. In the article it saids: twenty five years ago something funny happening around Mars, NASA's Viking 1 spacecraft was circling the planet snapping photos of possible landing sites for it's sister ship Viking 2. Also, when it spotted the shadowy likeness of a human face, an enormous head nearly two miles from end to end seemed to be staring back at the cameras from a region of the Red Planet called Cydonia. There must have been a degree of surprise among mission controllers back at the Jet Propulsion Lab when the face appeared on the monitors. But now scientists figured it was just another Martian mesa common enough around Cydonia only this one had unusual shadows that made it look like an Egyptian Pharaoh. But if I'm the scientist trying to figured out all this work,and see who's the human face or a alien face because humans on earth an aliens in Mars or more planets. But afterwards after that happening, it saids how some people think the Face is bona fide evidence of life on Mars evidence that NASA would rather hide, say conspiracy theorists. Meanwhile the defenders of the NASA budget wish there was an acient civilization on Mars. Also, although few scientists believed the Face was an alien artifact photographing Cydonia became a prioprity for NASA when Global Surveyor arrived at the Red Planet in September. 1997, eighteen long years ago after the Viking missions ended.",1
