essay_id,full_text,score,cluster,cluster_confidence
006c931,"What if we could tell how all of the people us were without even asking. Most people can tell when someone is sad, happy, or mad just by looking at them, but what happens when that person is hiding how they are truely feeling. What then? Well new techonlogy can allow us to see exctly how someone, who is trying to hide there emotions, is feeling. This is unfair for many reasons. The technology may be cool but people have a right to keep how they are feeling a secert.

The computer software works by making a 3-D computer model of the face; the computer watches the different muscles in the face move to identify how the person is feeling. The technolgy delevopted by Dr. Huang can even calculate mixed emotions with the exact percent of how strong the emotions are. Dr. Huang obseres that ""facial expressions for each emotion are universal"" I htought people expressed emotions in different ways though? Dr Hoang also states that ""even though individuals often show verying degrees of expression.""

People have a right to not tell people how they are feeling. Did we really need to know the Mona Lisa was 9 percent disgusted? Now that raises the question of why? Was Leonardo de Vinci's hair messed up? Or did she think he needed to take a shower? What is the point in knowing someone is feelings without knowing why? We do not need technology to ask someone how they are feeling. or even why the are feeling the way they are feeling that way.

There are really no benfits to knowing how someone is feeling without knowing why. The technology is very cool. It is crazy how Dr Huang was able to develope a computer that uses muscle movment to idenitfy emotions. The technology is useless though unless you are prepare and willing to ask why? ",3,7,0.7939013838768005
007db64,"This is right because the use of this technology put

smiles on people face and make people 83 percent

happy, 9 percent disgusted, 6 percent fearful, and 2

percent angry. The main point is that the person feel more

happy than sad, and also this gave human a better way to

communicate with computers like it says in the article,

""Dr. Huang and his colleague are experts at developing

better ways for humans and computers to communicate."" I am gald that scientist found a way for us to

communicate with the workd around us.

This should'nt be hard for us because us human

pefrom this in our daily life, like the article proclaim. This

is awesome beacuse the world will feel beter with a lot of

smily faces and every feeling happy about themself and

every body else around them, and there will be no

violence, there will be no argument, and the world will be a

better and peaceful place, a place where dreams come

true, and place where everyone is happy, a place where

we can xepress our feelings to each other and work things out.

work cited

D'Alto, Nick, ""Making Mona Lisa Smile,"" Carus Publishing

Company, November 2006.   ",2,7,0.6961960196495056
0084f6c,"What exactly is the facial action coding system? Well it enables computers to identify human emotions and expressions. This is an interesting way to understand a indivuals emotional expressions. Children in this mordern day have a tendency of hiding some deep emotions and expressional feelings from their peers,friends,and family. Being able to figure out some of their emotions could save a lot of problems long term.

The worst thing a person can do is hide their emotions from people. This can really lead to a bad depression or other sad emotional syndromes. In the article ""Making Mona Lisa Smile"" by Nick D'Alto it stated that ""Of course, most of us would have trouble actually describing each facial trait that conveys happy,worried, etc."" This shows that a person understanding someone emotions is very diffucult. People can hide their feelings really well especially students when even they are having their worst day.

Facial action coding system can really help adults to understand the true emotions of a student. The story says that ""A classroom computer could recognize when a student is becoming confused or bored, Dr. Huang predicts. ""Then it could modify the lesson, like an effective human insturctor."" This by far is an excellent idea. In the US in today's world a lot of students homework is online. Not even just homework at school but in everyday life it has something to do with technology.

By being said the students that can't comprehend the lesson, there can be an alternative assignment that they can to so at least they are learning something. Doing something that you kind of know and bettering yourself at that is way more benefical then doing something you have no knowledge of. A lot of students don't ask for help when they are struggling with a assignment. Most of the time they either skip it or copy down answer without getting the full structure of the material. If the students are not understanding something in a lesson the material is only going to get way harder for them without any help.

In the end, the facial coding system is a great creation and will be very benefical toward students. Teachers a very educated and have the Knowledge to help the students. If they don't know who is struggling though at all times they can't help every student.                                                   ",4,7,0.9172530770301819
00a4469,"Using technology to read emotional expressions of students in a classroom is valuable because it could help students learn in ways that suit them, prevent students from getting angry or stressed, and make them feel valued.

The article says that the computer would be able to tailor lessons to suit each students needs based on what emotions they're showing. This could greatly improve a student's education. A lot of students don't seek help if they get behind or don't understand something, the Facial Action Coding System could help them out by recognizing their confusion and changing the lesson to best suit them.

Speaking of emotions, the Facial Action Coding System would be able to prevent students from getting too angry or too stressed. If a student is showing strong negative emotions, the FACS could notify someone or tell the student to take a break.

Many students hide their negative emotions in a classroom, for fear of looking bad amongst their peers. The FACS could help students, by acknowleding their emotions and change the lesson or the atmosphere. Overall this could boost both grades and school attendence, by making students feel valued, like someone cares about their feelings.

Using the Facial Action Coding System in schools could be a valuable asset to education. It could help students improve, keep them from getting too upset, and make them feel valued.   ",4,7,0.8741369843482971
00dd003,"Using the Facial Action Coding System is not necessary whatsoever. This will just be taking up space in already crowded schools, and having schools waste money on a emotion coding system.

These Facial Action Coding Systems will be even more of a distraction. Phones are already enough of a distraction this will be even worse. Kids will just make face expressions to find out what emotion a certain face tells. ""Empathy (feeling somone else's emotional state..."" Most kids like to just have their space and not be bothered. This is also spending money on things that are not mandantory so money will just be wasted. At the end of the day like who is really interested in what a face expression tells about you?

This computer can be a problem too some kids. Other kids knowing about their emotions they can be bullied and mistreated for how they feel. Every ""positive"" always has a negative. This can bring hatred upon someone a kid who is always sad and has hatred can be bullied and make the kid even more depressed. ""Imagine being able to detect exactly how other people are feeling, even when they are trying to hide their emotions."" This Facial Coding system can ruin some kids this is not for everyone, your emotions are not for everyone.

Why is determining what your facial expression says about you instead of learning? Why are we not focused on teaching out kids great education and personal finance? We are so caught up in technology our kids are getting distracted and in trouble over it. The Facial Action Coding System doesn't belong in schools and shouldn't be allowed too. ",2,7,0.8114328384399414
00eabc5,"Just Straight FACS

Anybody can read a room. Whether it's at a party, an important meeting, a funeral, or a Pre-Calculus lesson at 8 a.m., it's easy to look around and see how the people around you are feeling due to body language and facial expression.

Others don't think so, though. Prof. Thomas Huang and his team of experts have come up with new tech that can recognize all 44 muscles in the human face, and create a diagnostic on how a person is feeling. This is interesting, yes, but some may think that this technology could be used in classrooms to get a general feel on what each student is feeling about a lesson.

I believe that using the FACS (Facial Action Coding System) in a classroom setting would have no merit and would just be a waste of time and money in public schools across America, because of how weak the technology in the FACS actually is.

In the text, Dr. Huang says that ""facial expressions for each emotion are universal,"" and that ""varying degrees of expression"" can still be used to recognize the feelings and emotions of any human being. When applying this to a classroom enviroment, this can't be correct. That is due to many natural factors in humans.

For example, the world has progressed a lot, and more children with mental disabilities and special needs are being allowed to be involved in regular classes. For a student with a form of autism, it may be hard for them to convey certain emotions on a regular basis. The technology wouldn't be able to read their face correctly. Another example is for a student with a physical disability whose face couldn't be read properly by the FACS. There are too many outliers for the technology to be accurate, unless you had a room of children who all express their emotions like an open book.

The text also says that ""most human communications are nonverbal."" I agree with this statement, actually. It proves that one can never tell what a person is thinking just by what they say, or their facial expressions. The only true place you can know how somebody really feels is in their mind. I, for one, never really say or express how I feel about school infront of any sort of teacher or staff. It's a general rule among students at my school to onlt talk about teachers or lessons outside of the classroom. Now, this may not be how it is in other public school settings. If it happened to, though, then the FACS technology would be obsolete in its purpose.

Lastly, in paragraph 9, the text says that according to the Facial Feedback Theory of Emotion, ""putting on a face"", or a poker face, actually trains your body to be in a better mood. This means that literally anyone could trick the FACS into thinking that they were in a happy mood when need be. Students could easily ""beat the system"" by manipulating the FACS into giving off a false diagnostic every time, and therefore ruining the FACS's credability. Until the FACS can tell when a group of teenagers are faking their emotions, it can't perform its main task.

In conclusion, Dr.Huang's FACS technology cannot work due to how baseless it's ethics are, how difficult it really is to understand emtions just by facial expression, and how easy it is to manipulate it's process.",4,7,0.8079482316970825
00fd564,"The use of the Facial Action Coding System in the classroom is valuable because it can help students learn the material the instructor is teaching that day much faster allowing the students to have a fun yet educational experience in the classroom.

The Facial Action Coding System will make the classroom more entertaining to all grade levels even in college, and the system will identify the emotions the user is feeling and will adjust the lesson plan to the students' liking.

The emotions are one of the only ways we can tell what each other are feeling but also thinking at the moment.

These days the only way that communicate mainly is through texting and most people don't like to call each other because people are becoming too caught up in technology to actually talk to the person they are trying to communicate with.

Also the people are becoming too lazy to actually call the person or actually go to the person in person and have their conversation with them.

In the education department of the government they are coming up with all these standardized test to prove that the student is eligiable to go to the next level of education, but in most of the schools in the United States who use these standardized tests most of the students fail the test and have to retake the test again the next year or semester.

With Professor Huang's creation of this tecnology the education system will be getting better and better tests results if this system is implemented into the schools all around the United States.

The Facial Action Coding System should be implemented into the school systems all around the world because every child deserves a good education even if they are poor or don't have money to pay for the schooling.

The reason the Facial Action Coding System should be implemented into the school systems all around the world because the software will help students all grade levels succeed in the real world and have a good education and will help the student find good jobs once they graduate high school or college.

The Facial Action Coding System could actually help therapy patients and patients with PTSD and help the therapists, doctors, and counselors figure out what the patients are thinking or feeling at the moment.",3,7,0.8418372869491577
01665d5,"I think that the new facial action coding system would be good to read emotions of students because it could help figure out people's emotions t, it could help with mixed emotions, and it can help people with questions.

One way that the new new facial action coding system would be good to read emotions of students because it could help figure out people's emotions. One deatil to support my claim is that in the story it says "" for instance you can probably tell how a friend is feeling by the look on their face , of course most of us would have troube actually describing each facial trait that conveys happy or sad. That means that with the facial scan computer they acn do it with no hassle at all.

Another reason that the new facial action coding system could help is because it can tell if people have mixed emotoins. One reason to support is that in the text it says ""Dr Huang oberves thata artist such as da vinci studied how human anatomy to help them paint facial muscles precisely enough to convey specific emotions. That means that if someone is having mixed emotions the computer can detect the emotions that person is having.

My third reason that the facial acting coding system would be good is because it can hepl put a smile on people faces. One detain that supports my clain is "" According to the facial feedback theory of emotion moving your facial muscles not only expresses emotions but can also help you produce them (Putting on a happy face).

In conclusion the facial action coding system would be good for people because it could tell if people have mixed emotions, it could help figure out people's emotions, and it can help people solve problems they are having ",3,7,0.8861426711082458
018985d,"Identifying Human Emotions

Imagine being able to figure out exactly how anyone in this world are feeling with just a computer. Now software has developed that could help you do just that. The Fcial Action Coding System has applications that will be extraordinary to modern day technology.

Dr. Huang and Dr. Eckman created the the FACS. All which have six emotions-happiness, surprise, anger, disgust, fear, and sadness. These are emotions that are used on a daily basis around the world so they are pretty basic. Video imagery is used that tracks one's facial movements. Therefore it can identify mixed emotions. The video imagery compares each expression with a neutral face in order to figure your emotions.

Imagine being at school on your classroom computer learning something boring, and all of a sudden the topic becomes fun. Dr. Huang predicts that your classroom computer could recognize when a student is confused or bored. It would be useful to many students in order to make and help them learn better. This same technology could make identifying emotions much easier. The boring lesson for you would modify. This way the computer will know to keep giving you boring lessons or fun ones.

Facial muscles are obviously an important item in this. If the technology could not identify the way your facial muscles move, then the technology would not work. Not only do your muscles express emotion, but they also help produce them. The article states that a renowned drama coach, Constantin Stanislavsky, had his actors carefully reproduce smiling and frowning as a way of creating these emotions on stage. This clearly would help the actors express themselves better, thanks to our face muscles. People may not notice, but we imitate other people's facial expressions with empathy.

Who would have thought that sience and technology could be involved with a big feature of who we are. Sometimes being able to figure how someone is feeling. At times we may even have to bug them in order to figure the emotion. Now with the new technology of FACS, this task will be easier. Even for students in a classroom, this will be valuable.               ",3,7,0.8492276668548584
01b9b63,"I think its wrong to use the Facial Action Coding System on students in their classroom. One of the reason i think this way is becuase teachers should not have to use a machine is read their students emotions by simple just asking a student on how he or she feels can get the same results. Another reason is the money for a machine like this is very costy, and not every school could afford a machine like this. Also the machine is and invination of privites and some students might not want their emotions read

Most students are under stress by school work and the could easly be read by anyone and it would be a waste of the schools money to read the emotion of a student. Also the student could be sad, angery, or happy about something totally differant from school work, and that means it could throw the machine off.

I think the Facial Action Coding System should not be used in schools and never should be. Machines should never be able to read emotions.",2,7,0.8239196538925171
