essay_id,full_text,score,cluster,cluster_confidence
000fe60,"I am a scientist at NASA that is discussing the ""face"" on mars. I will be explaining how the ""face"" is a land form. By sharing my information about this isue i will tell you just that.

First off, how could it be a martions drawing. There is no plant life on mars as of rite now that we know of, which means so far as we know it is not possible for any type of life. That explains how it could not be made by martians. Also why and how would a martion build a face so big. It just does not make any since that a martian did this.

Next, why it is a landform. There are many landforms that are weird here in America, and there is also landforms all around the whole Earth. Many of them look like something we can relate to like a snake a turtle a human... So if there are landforms on earth dont you think landforms are on mars to? Of course! why not? It's just unique that the landform on Mars looks like a human face. Also if there was martians and they were trying to get our attention dont you think we would have saw one by now?

Finaly, why you should listen to me. You should listen to me because i am a member of NASA and i've been dealing with all of this stuff that were talking about and people who say martians did this have no relation with NASA and have never worked with anything to relate to this landform. One last thing is that everyone working at NASA says the same thing i say, that the ""face"" is just a landform.

To sum all this up the ""face"" on mars is a landform but others would like to beleive it's a martian sculpture. Which every one that works at NASA says it's a landform and they are all the ones working on the planet and taking pictures.",3,1,0.8456171751022339
00f3984,"The Face that is on Mars, is just a natural landform. I am here to prove that it is just a natural landform. All of my reasons will come from the passage named ""Unmasking the Face on Mars.""

I know that the Face on Mars is just a natural landform because, in the passage it is stated that when the spacecraft Viking 1 was circling it was snapping photos when it spotted a shawdowy figure like a human face on a region on the planet named Cydonia. After that though, scientisits figured out it was just another Martian mesa common around Cydonia. Next, on April 5, 1998, Mars Global Surveyor Camera snapped pictures better than the ones that Viking took. Thousands of peole waited for when the image would first appear on a JPL web site. The website revealed that it was just a natural landform after all. Finally, in the very last paragraph it said, what the picture actually shows is the Martian equivalent of a butte or mesa. They are similar to landforms common around the American West. A scientist named Jim Garvin said ""it reminds him of the Middle Butte in the Snake River Plain of Idaho."" Gavin also stated ""that's a lava dome that takes the form of an isolated mesa around the same height as the Face on Mars.

So therefore, all of the reasons stated above prove that the Face on Mars is just a natural landform. It formed a long time ago and that is something to figure out in the future.",2,1,0.8667903542518616
0105e2e,"The face on Mars was not made by aliens, and it only looked like a face because of the shadows. Michael Malin even took a better picture twenty two years later that showed it wasn't a face, but some people weren't satisfied. Three years later they took an even better one, showing that it wasn't a face at all.

This is not a face becasue the author says in paragraph two, ""Scientist figured it was just another Martian mesa, common enough around Cydonia, only this one had unusual shadows"" Some people didn't agree because ""it was winter in April '98--a cloudy time of the year"" and to disprove this they took a better picture in the summer. In paragraph ten, it says ""Nevertheless, on April 8, 2001--a cloudless summer day in Cydonia""

the picture that he took was even clearer and it can be seen that nothing alien related is in the photo. It is all just a mesa.",2,1,0.8330004811286926
01267d1,"The Face was dicovered on May 24, 2001. It was discovered by NASA's Viking 1 spacecraft. ""NASA's Viking 1 spacecraft was circling the planet, snapping photos of possible landing sites for its sister ship Viking 2, when it spotted the shadowy likeness of a human face."" But the Face is just a natural landform discovered on Mars by NASA.

On April 5, 1998, Michael Malin and his Mars Orbiter Camera team took a picture of the face. It was discovered that there was no alien monument. On paragraph seven, the text states, ""snapped a picture ten times sharper than the original Viking photos....There was no alien monument after all."" This proves that they found out the Face was not an alien monument.

But many people were still not satisfied so, on April 8, 2001, Mars Global Surveyor went to Mars for a second look. On paragraph ten, the text states, ""Malin's team captured an extraordinary photo using the camera's absolute maximum resolution."" On paragraph twelve, the text states, ""What the picture actually shows is the Martian equivalent of a butte or mesa--landforms common around the American West."" So, the Face that they found on Mars was just a natural landform after all.

Using evidences from the texts, we learned that the Face was discovered on May 24, 2001. We learned that many people believed it to be an alien monument, but it was not. The Face got looked a second time, on April 8, 2001, but with the camera's absolute ""maximum resolution."" In the end, they found out that the Face was just a natural landform and not an alien monument.           ",1,1,0.846824049949646
014eba6,"As I know from images and researches that aliens could possibly exist by the looks of it . Not so Postive about it , but why would there be an human face on mars when people aren't on Mars everyday of there lives. Also that by seeing pictures of hwo aliens look there similar too us in a way , but the mouth is weird shping like it's not a human mouth that people think it may be . Makes you have second thoughts and makes you want to investigate more on the "" The Face On Mars "" . Each year we have something new on this face of mars.

So we investigate more on these pictures to see exactly what were trying to find out because it doesn't add up how would I big hu,man face be on mars. doesn't make since too me. Yeah and like "" Garvin "" says we don't pass over a human face very often so something isn't right here. The scientist put there all into this to figure out what there dealing with.

So finally in 2001 we've came to an conclusion and find out from all our investigations that it's really just a ' mesa ' It's an Middle Butte in the Snakwe River Plain of Idaho It's the same height of as "" Face on Mars "".",1,1,0.8307039737701416
0151c0f,"The so called "" Face'' on mars is just a landform that looks like a face. I know this because there are no such thing as aliens, if aliens did exist we would have seen them and known by now, and lastly I know that I is just a landform because it looks like a coincidental landform that looks like an alien.

The first reason that I know it is a landform and not an alien is because aliens do not exist. They are some made up characters found in science fiction books and movies, just like monsters, witches, and ghosts. There has never been actual scientific evidence that proved any of those things to be real. Many crazy people think that they have encountered ghost sightings and other things like demons, zombies, or even something as dumb as slenderman. These things are all fantasies that they make up in their heads and then try to get other foolish people to believe them.

The second reason that I know that it is not an alien is that if aliens and monsters really did exist we would have all known by know. If they were anything like what they are in movies we would all be dead or abducted. In movies people see UFO's and they suddenly are sucked up into a portal and abducted by aliens and used as slaves. If they existed you would think that many people would probably have gone missing after ""UFO"" sightings. Like I said before it is just a bunch of nonsence that people have made up in their head and aren't smart enough to know that it isn't true.

My last reason that I know it isn't an alien is because I know that landforms can often look like things that they really aren't. For example at my uncles house they have a big rock in their back yard that looks a lot like a ground hog. I know that it is not a ground hog, but if I was like the people that thought it was an alien I could make up a bizare story about how in ancient times the ground hog got cursed and then was turned into a rock because the king demanded it to.

See? It just doesn't make much sence.

Sure, the landform looks somewhat like a face in the 1976 picture, but so did the rock in my uncle's back yard. All the thoughts of it being an alien is so made up in their heads. The NASA crew said, ""Nasa's Viking 1 spacecraft was circling the planet, snapping photos of possible landing sites for its sister ship Viking 2, when when it spotted the shadowy likeness of a human face. An enormous heaad nearly two miles for end to end seemed to be staring at the cameras from a region of the Red Planet called Cydonia. First off, the aliens in sci-fi movies aren't nearly two miles long, not even close to that. Secondly where it says that the head seemed to be staring up at them, obviously if you are above it and it's a 2d or 3d shape it's going to appear to be looking at you!

In conclusion there is no way that the so called face on mars is an alien. It's not an alien because aliens don't exist, we would have known by now it aliens really existed, and some landforms are shaped like odd things. Like I said earlier, if aliens really existed we would have encountered them before and seen UFO's that would try to abduct us. This is why there are no such things as aliens, which means the face on mars is just a landform that just so happens to look like a face. ",4,1,0.8068215847015381
01d6e7e,"The 'Face' on Mars is just a hoax. It seems as though the mound on this planet is just a mesa. If you don't believe me, then listen to me very closely. The very similar face on the side of Mars can be very defining but not a single astronout have researched at the Mesa up close and personal. But even if it was made by aliens, it still wouldn't tally up right?

The 'Face' was first noticed in 1976 by Viking 1 spacecraft, circling around Mars, after trying to find its sistership, Viking 2. As Viking 1 was circling around, it spotted a likeness to the human face. And the mound was found in Cydonia, a very well-know area on the Red Planet to house mesas. As the years went by, they looked more into the mound and Scientists concluded that it was just another mesa, but this moutain-like hill had shadows that resemble the human face.

As you review this very peculiar picture, you can see that it just resembles Earth, mostly in Western America. That certain part of America are very popular for its mesas and buttles (which are the same as mesas). There may be more out in the solar system, mnaybe even more in the whole universe itself, but in the end of all the discoveries, they all end up being coincidences. Maybe one day, we'll find extre terrestrial life, but for now, we will just make more and more discoveries until we don't have anything else to find.",3,1,0.8770935535430908
01ec1a3,"""What's that thing on the moon dad?"" ""That is a land form, it's not on the moon but on Mars a planet far away from us."" The landform on mars in natural, even if it looks like a face. You can see things closeer up in a digital image, there are many equivilent landforms on Earth that are natural, and lots of theories are exagerated.

The landform on Mars is a mesa, and there are many like it on Earth. As the text states, ""It remids me most of Middle Buttein the Snake River Plain of Idaho..."" Just because something that is here and it's known it is natural doesn't mean that on another planet it was made by or is extra terrestial.

Theories about the mesa on Mars being from other lifeforms was exagerated. As the text says, "" The Face on Mars has become a pop icon. It has starred in a Hollywood film, appeared in books, magazines, rado talk shows- even haunted grocery stores for 25 years!"" Over time the face on Mars probably got twisted, just like a game of telephone. The truth probably got mushed with Sci-Fi.

A digital image in taken in 2001 showed nothing but rocks no tools, and the picture was very shap and discerning. The text states, """"Malin's team captured an extrodinary photo using the camera's absolute maximum resolution."" Each pixel in the photo covered 1.56 meters insteaf of 43 meters per pixel. As a rule of thumb you can discern things in a digital image 3 times bigger than the pixel size."" This means that if there were tools, construction equipment, or anything

from ""extra terrestrials"" that they would be visible in the picture. There was nothing there but landforms and rocks.

In 1998 the best picture taken was when Mars was foggy and skeptics and theorists said that markings could be hidden. But in 2001 a new picture was taken and it showed that the landform only had the markings the rest of the planet. The red dust and rocks.

The landform on mars in natural, even if it looks like a face. You can see things closeer up in a digital image, there are many equivilent landforms on Earth that are natural, and lots of theories on the face are exagerated. Before you speculate, have your facts straight.   ",4,1,0.7361718416213989
0226c11,"The face on Mars is a natrual landform created on the planet. Some people believe it was created by aliens or that's an alien artifact around the planet. The face that we see in the pictures is mostly not possible for aliens to create and for sure there are no tracks of any alien life around.

In the article it says There was no alien monument after all. This explains my answer by saying that the face was created naturally and not an alien artifact. Also in the article Unmasking the Face on Mars it explains another reason to show that the face on Mars is just a natural landform created by the planet in the article it says ""What the picture actually shows is the Martian equivalent of a butte or mesa—landforms common around the American West"". This also explains my answer by comparing the natural landforms on Earth and comparing it to the face on Mars. The third reason to explain why the face on Mars

is a natural landform is in the beginning a reason to why people think it's an alien creacted landform or artifact is because of the pictures where not made clear enough during 1976-1998. After getting the 2001 picture it's easier to see that it only creates a face when there are shadows.

The picture taken in 2001 can also make it clear that it has a natural form for example it's not perfectly shapped and it has a few cracks almost like a rock. In the article it says “As a rule of thumb, you can discern things in a digital image 3 times bigger than the pixel size"". This explains my answer by explaining how the image taken in 2001 was a better picture of the face on Mars and they could actually work on it better and discover it without any problems to stop them along the way. Also the image taken in 2001 can help explain to those who believe that it was formed by aliens that it was a natural landform created by the planet naturally. The landform that looks like a face on Mars is created naturally by the planet. ",3,1,0.8974661231040955
0262618,"""Unmasking the face on Mars""

You will be wondering what theirs a face on Mars,well we do not know for sure. Some scienitst are saying that the ""Face on Mars"" are provided from aliens (Aliens are living in Mars?). They discover the face in 1976,that is when they took the photo they lastest image is from 2001. Also another scientist are saying (am one of them) that ""It is just a rock"". It has natural grow & its not a mask & just a rock. But who knows no one knows.

Did you know that 50% of scientist think that it is a mask from aliens & the other 50% of scientist think it is just a natural landform. ""A few days later NASA unveilded the image for all to see. The caption noted a huge rock formation. . .which resembles a human head. . .formed by shadows giving the ilusion of eyes,nose & mouth."" And i still think it just a rock,if it were an aliens face or an human face tell me how did it got their.

Do you still think that its still their (i do so) because it is a rock,rocks dont die,they are hard rocks we have & they never die. But am not that convience how can a rock change by its years,but also maybe because it is a different type of rock (its in the space) I thinking that the rock changes by the time.

Its just a rock that looks strange dont all rocks look strange they are all unique & some strange ones they are a lot of type of rocks in the life,dont think the the rocks are the same. Were different.",2,1,0.8620442748069763
