essay_id,full_text,score,cluster,cluster_confidence
0033bf4,"What is the Seagoing Cowboys progam?

It was to help many countries that had been scarred by World War II.

These people helped with cattle and other animals that were shipped to Europe to help them.

People were asked to help by the United Nations Relief and Rehabilitation Administration, or UNRRA.

People should join the Seagoing Cowboys progam because, you get to help other countries and people, you get to see many parts of the world, and you have fun.

If you are in the Seagoing Cowboys progam, you can help other countries by giving them animals for food and work.

It makes you feel good about yourself.

The article says, "" It made me more aware other countries and their needs.""

That would make someone feel good about themselves for helping other countries.

Wouldn't that make you feel good?

In the Seagoing Cowboys program, you can see many parts of the world depending on where you are going.

You could see Italy and other countries.

The article states, ""Besides helping people, I had the benefit of seeing Europe and China.""

That would be very exciting.

How would you like to see a bunch of different countries while working?

You wouldn't have to pay for travel

While working for this program, you would also have fun.

The people aboard the ship would play games on the way back to get more animals.

The cowboys would also play baseball and other games in empty ship holds where the animals were on the way there. Also the article even states that they played games.

Even though you are working, you will still have fun.

So, if you are in the Seagoing Cowboys program, you will have fun, you will feel good about yourself, and you will also get to tour and visit many different parts of the world.

Many people helped with the Seagoing Cowboys program.

They helped many countries in Europe.

The cowboys still got to do what they always did, help with animals.

So, do you think that you would want to become a Seagoing Cowboy?

Or at least be in the program.  ",3,6,0.7836088538169861
0040e27,"There are many reasons why you should join seagoing cowboys program. You would be helping your country. You'd be traveling around the world. Last you'd have lots of fun over seas.

You'd be helping our country because when Luke was in seagoing cowboy program it was 1945 and world war 2 was happening in Europe and he had to those countries recover. Luke had to help the horses when the war was over to get people places and to work. If you were 18 or up you might be lucky and be drafted into the military service. The UNRRA would hire seagoing Cowboys to feed the horses cows and mules that were shipped overseas.

You'd be traveling around they world like Luke did. It took Luke 2 weeks to cross the Atlantic Ocean from the eastern coast. You'd be traveling to China, Europe, Greece, and many more places. The only way you'd be good at this job is if you wouldn't get sea sick because if you are a seagoing cowboy told travel overseas a lot.

You'd have fun overseas if you don't get seasick. You'd have many adventures. You'd have many stories to tell your friends and family. You'd been in countries you'd didn't think you'd be in. You'd be able to play games in the countries you visit in the seagoing Cowboys program.

If you join the seagoing Cowboys program you'd love it. You'd be traveling. You'd be having fun. You'd be helping our country. So why don't you join our seagoing cowboy program. I bet you'd love to be in this program with all our helpful friends and family that want to try to help our country. ",3,6,0.8886420726776123
006d0e1,"Have you ever seen Europe? What about China, or the Acropolis in Greece? Have you seen Venice, Italy, or the Panama Canal? If you've ever wanted to do those things, and help a lot of people while doing it, you're Seagoing Cowboy material. You should become a Seagoing Cowboy because of the hard work it teaches, the experience, and because you're supporting other countries, as well as your own!

First of all, we have the grueling hard work to speak of. Some may say that grueling hard work is not a reason to volunteer for something, but I disagree. Being a Seagoing Cowboy is nothing like a normal, boring life. Yes, you have hard work, but you get the greatest sense of satisfaction once you're done. You get to know that all your hard work has gone to helping people in need, and that you've really made a mark on this world. I think hard work is also the path to knowledge, and you may just learn some life lessons along the way.

Secondly, the fantastic experience is what we will cover. Some people may argue that the experience isn't worth risking your life over, but in reality, it's quite the contrary. If you're a Seagoing Cowboy, you get to travel the world, like I mentioned. You can see places like Greece, Italy, and China. Also, don't forget their unforgetable landmarks that you will see! Not only do you get to travel the world, but this is a once in a lifetime experience! We won't be around forever! Plus, I bet it will make one heck of a story to tell your grandchildren, am I right?

Finally, we have the service you are providing. Some may say you are better off in the military. This may be so, but would you rather be taking lives, or saving them? Plus, us Seagoing Cowboys were only created because of World War II to clean up the mess. Wouldn't it be counterproductive to start a World War III? Here, you get to help people, improve lives, and do good for your country, and the country you're in. I think that with more of us Seagoing Cowboys, we can make the world a better place.

Us Seagoing Cowboys know how to work hard, experienced a once in a lifetime chance, and supported our and many other countries. We've seen Europe, China, Greece, Italy, and even Panama! We've traveled the world, crossing oceans to and fro, for the good of mankind. So, what are you waiting for? Sign up today!",4,6,0.7648654580116272
008341a,"A Seagoing Cowboy is someone who helped take animals to the countries that were devestated by World War ll.

I, Luke Bomberger, am a Seagoing Cowboy.

I not only got to help others who were in need, but I also got to expirience the sights and hisoric landmarks in other countries.

I highly encourage you to join the UNRRA (the United Nations Relief and Rehabilitation Administration) and be a Seagoing Cowboy.

Think of how sad you would be if you were devestated by the war and had barely anything left.

Wouldn't you want someone to help bring you supplies such as animals?

Well you can be one of the few people to contibute.

The families over seas are all very kind and appriciative.

Though they are still very much in need.

So, you would just be helping the cause by joining.

Over the past year, me and my friend, Don Reist, have had the opportunity to see historical landmarks.

The chance to just see Europe and China would have been special.

But Don and I got to expirience so much more than that.

We got to see the Acropolis in Greece.

Also, taking a gondola ride in Venice, Italy, a city with streets of water, was a treat.

I have also toured an excavated castle in Crete and marveled at the Panama Canal on my way to China.

Come on.

Don't tell me you wouldn't love to have the opportunity to see the Panama Canal!

All you have to do is join the Seagoing Cowboys.

As you can clearly tell, being a Seagoing Cowboy is truly a great expirience.

We get to help those in need, and also have the chance to see historic landmarks around the world.

I hope that soon, you will decide to be like Don and I and join the UNRRA and become a Seagoing Cowboy.",3,6,0.8658130168914795
00a6693,"Do you ever have a yearning to have an experience where you help people, and see new places? I had one of those eye-opening trips myself when I took part in being a Seagoing Cowboy. All citizens should participate in this program. In this essay, I will explain why this program should include you in the next trip overseas.

When having deep affection for men and women who have served in wars such as World War Two, you long to give help back to them in repayment. That is why it feels so amazing to sail overseas with vital needs for discouraged people, such as animals or food. I have served for nine trips(the longest contributed by any Seagoing Cowboy), because it gives yourself satisfaction to keep youself busy with activities that lift people's spirits. If you join this program, you can feel like a warrior in different ways.

On these trips overseas, you can also live through rewarding and beautiful sites. With our free time in other countries, we had the opprotunities to see the Acropolis in Greece, and parts of China. We also got to experience what a gondola ride in Italy felt like through streets of water. Visualizing these historic places really make you want to see more of the world, and keep helping our world's health.

People opposed to the UNRRA may have many doubts why you would risk the danger and time. It is true that you sail where destructive and gruesome battles have taken place, but you can visualize the importance of why you need to help those citizens who have lost so much. Even though some may also state that it is too much scrificed time away from home, the time goes by fast while playing fun and relaxing games such as:fencing, boxing, reading, whittling, and tennis tournaments. There are many reasons why you can make up for risks and sacrifices on this trip to pass time or feel more connected to your service.

Becuase of the ways this trip is so benificial to participants, it is a great program to take part in. Seeing beautiful sites and repaying soldiers help you analyze so much more about other places and war. For many people, it concludes as an opprotunity of a lifetime, that will never be forgotten. For these reasons, all citizens should participate in the UNRRA program overseas.",4,6,0.8043628931045532
01247bc,"Being a Seagoing Cowboy let Luke see all over the world and help people in need. He had the most fun on his home with the other Seagoing Cowboys. They would play Base baseball and volleyball in the empty hold of the animals been housed. They would aslo play table-tennis touranments, fencing, boxing, reading, whittling, and other games. When he turned 18 he wsa his way to Greece (as a Seagoing Cowboy) and he got draft. When they found out he was a Seagoing Cowboy they said he could do his service as a Seagoing Cowboy.

It opend up the world to him. He got to see the Acropolis in Greece and he rode up in Venic, Italy were the streets are water. Helping out on his Aunt's farm helped him for the hard work as a Seagoign Cowboy but it didn't help for the danger of the sea. It made him more awar of peole in other countries that need help and that stayed with him for life and he shared that wiht his family. He always said it was more than just an adventure.

Being a Seagoing Cowboy can be fun at times but can be realy hard at some parts. It helps for life like school does. I think that more peole sould get a try to become a Seagoing Cowboy just to learn soem of the same thing Luck did or see the things he might have seen. So give it a try it can be fun! ",2,6,0.805419921875
01290ec,"Luke Bomberger is a who had started working in a grocery story and a bank, just when he got out of high school. Once he went on this trip to Europe with his friend Don Reist. Luke started enjoying going to oversea trips, even though he knew it would take a long time. Have you ever wanted to take an oversea trip? If your answer is yes we would like you to come and sign up for The United Relief and Rehabilitation Adminstration. Its for SEagoing Cowboys that are willing to take care of horses, youngcows, and mules that are shipped overseas.

When you go through the proccess of going on the trip, don't get nervous. Luke Bomberger was a confident man to go on his journey with his best friend and was never really afraid. Every time you ride on that boat you feel more a live, which is a good thing. All you have to do is believe in yourself and you can do anything! Taking care of animals is another thing to, if you absolutely love animals than of course you might want to join. Especially if you are a farmer boy.

Going on the journey made Luke feel alive, and it should make you feel alive if you think you are going to join the club that takes you overseas. I know all the men loved to go on that trip to take care of many farm animals, especially if you do that your everyday life. When Luke was on that trip he loved it, he first(1st) went to New Orleans for the trip. They got there the day the Pacific war ended , on August 14th. On his first (1st) trip the crew he was with ended up with 335 horses on the cargo, and had enough to feed everyone including the men on the ship.

The story of Luke Bomberger is probably not urging you yet, but when Luke was official 18 he knew that he could join military. Then he thought I still love seagoing trips, so I'm going to stick with it so he did. Do you see how motivated Luke was to join the Club of UNRRA. Luke already taken a total of nine(9) trips and he was proud of it. Luke couldnt imagine his life without the trips he wouldn't have gone on so he stayed on going with it and he was confident in his choice.

Not just that but Luke got to visit other countries such as China and European countries, such as Venice, Italy. He also got to help people all over the world. He was so proud of what he did and so full of joy. Luke oncer got hurt on one (1) of his journeys. While Luke was checking on the anoimals on a very rainy night he slipped and fell but luckly there was a small piece of metal that protected Luke from flying off the deck into the Atlantic Ocean, but thanks to that small piece of metal he was saved.

So ask yourself do you want to join the UNRRA club(united Nations Relief and Rehabilitation Adminstration). If you do make sure on your descions that you want to do it. Anything is possible for anyone! If it was possible for Luke Bomberger than its possible for you! So sign up now if you want to be a success like Luke Bomberger! Keep in mind that you can see animals , help people, and you can also visit places you have never visited in your whole life.",3,6,0.7762181758880615
0224c63,"Hey, I'm Luke. I'm here to tell you about the Seagoing Cowboys program. I was a Seagoing Cowboy myself. It was a very unique experience. On the plus side, I also had a lot of spare time. I got to see Europe and China. My friend and I got to help a lot of people during our time, too. There is also time to play around on the boats after you unload all the animals. I loved to play volleyball and baseball. Also, we played table-tennis tournaments, fencing, boxing, reading, and whittling.

The program helped open up my eyes. It made me more aware of people in other countries and their needs. It might be a little hard at first ,and rough, but you'll get the hang of it. After all that, just think of how good you'll feel after knowing you've helped people. Signing up for the Seagoing Cowboys is a great opportunity for you. If you like to have spare time, help people, and have a lot of fun, Seagoing Cowboys is the job for you. Participate today! ",2,6,0.8532904982566833
022b620,"Luke was going to China, because his friend asked him and he said he couldn't pass this up. In the text it says that Luke had no idea that his life would change once he graduated high school. He was working two part time jobs. He knew it was an opportunity of a lifetime. the United Nations Relief and rehabiliation Administartion hired ""Seagoing Cowboys"" to take care of the horses, young cows, and the Mule that were shipped overseas. Luke and Don helped and signed up for it. Luke turned 18 before arriving in Greece. When he finally got there he helped on his Aunt Katie's farm. He went on a second trip. The cowboys all got along and began playing table tennis tournaments, baseball,volleyball games, and boxing and the games helped pass some time for the cowboys. The cowboy, also known as Luke Bomberger, lead his family to host a number of international students and exchanged visitors for many years. They arrivred in China August 14, the day the Pacific war ended. I bet his family was very proud of him. When he turned 18 I bet he was excited because he could be drafted for miltary service. Then when his board learned that he was on a cattle boat trip they told him to just keep doing that for service.

The reason you should join the Military is because you could save a life. Several of lives. Also because we probably need more people because we could always use more people to protect us. Luke made nine trips after 1947.    ",2,6,0.6571815609931946
022d72e,"Have you ever wanted to become a hero? Have you wanted to help people through tough times? Well I know the job just for you! A Seagoing Cowboy. My name is Luke and I was a seagoing cowboy. One day my friend invited me to go to Europe on a cattle boat. I knew I couldn't resist the opportunity. It was 1945 and World War II was all over Europe leaving cities in ruins. Luckily, many nations came together to help support Europe. The UNRRA hired ""Seagoing Cowboys"" to take care of horses, young cows, and mules that were being shipped overseas. My friend and I both signed up.

We joined the group because we knew it would be an experience of a lifetime. We also wanted to help people and animals in need. It felt so good to be able to be called a hero. You also get to see many countries and their landmarks. They give you freetime to go and explore the city or town. You learn so much from the cultures and the different people who live there. Although it takes a lot of time, it is definitly worth the trip. You are so proud of yourself for helping people and animals. There is a lot of work involved and you have to be willing to do it. In the end though, it pays off.

Becoming a Seagoing Cowboy opened up a whole new world for me. It was definitly an adventure that I will never forget. It made me more aware of people and their needs. My family hosted a number of people from all over the world. It brought a new light into our eyes. We now know that not all people have what we have. We learned that we need to stay humble no matter how much we have. So go ahead, see what new adventure is waiting for you as a Seagoing Cowboy.      ",3,6,0.8228119611740112
